$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
10.200000000000001,3,7.777,2,7.766,1153
10.200000000000001,2,,,,0
10.200000000000001,3,8.732,3,8.732,1215
10.200000000000001,2,,,,0
10.200000000000001,3,,,,0
10.200000000000001,4,7.949,4,7.949,78256
10.200000000000001,4,,,,0
10.200000000000001,1,8.071,1,8.071,1231
10.200000000000001,3,,,,0
10.200000000000001,4,8.22,4,8.22,1156
10.200000000000001,0,7.578,0,7.578,1193
10.200000000000001,2,,,,0
10.200000000000001,4,9.04,4,9.04,14758
10.200000000000001,4,8.587,4,8.587,1317
10.200000000000001,2,7.975,2,7.975,963
10.200000000000001,1,8.16,1,8.16,48067
10.200000000000001,0,8.195,0,8.195,16109
10.200000000000001,1,8.026,0,7.615,13115
10.200000000000001,1,,,,0
10.200000000000001,2,8.062,2,8.062,1009
10.200000000000001,1,8.652,3,8.444,35184
10.200000000000001,0,8.666,0,8.666,27124
10.200000000000001,1,,,,0
10.200000000000001,3,,,,0
10.200000000000001,3,,,,0
10.200000000000001,1,7.973,1,7.973,896
10.200000000000001,3,9.775,3,9.775,1122
10.200000000000001,3,,,,0
10.200000000000001,2,7.688,2,7.688,1002
10.200000000000001,0,8.378,0,8.378,875
10.200000000000001,2,8.969,2,8.969,927
10.200000000000001,3,9.287,3,9.287,1118
10.200000000000001,3,8.357,3,8.357,1162
10.200000000000001,0,7.969,1,7.469,35830
10.200000000000001,1,,,,0
10.200000000000001,3,,,,0
10.200000000000001,1,9.344,1,9.344,1341
10.200000000000001,3,8.415,3,8.415,919
10.200000000000001,0,,,,0
10.200000000000001,4,,,,0
10.200000000000001,0,7.95,0,7.95,40901
10.200000000000001,3,9.161,3,9.161,20130
10.200000000000001,2,8.35,2,8.35,1053
10.200000000000001,3,8.277,3,8.277,2045
10.200000000000001,0,8.287,0,8.287,984
10.200000000000001,4,7.709,4,7.709,908
10.200000000000001,0,8.976,0,8.976,1165
10.200000000000001,3,8.335,3,8.335,1062
10.200000000000001,4,,,,0
10.200000000000001,2,9.299,0,8.519,34811
10.200000000000001,2,8.433,2,8.433,7846
10.200000000000001,4,,,,0
10.200000000000001,3,7.785,3,7.785,796
10.200000000000001,3,9.907,2,7.807,37326
10.200000000000001,1,9.12,1,9.12,1168
10.200000000000001,1,8.053,3,6.871,32110
10.200000000000001,4,,,,0
10.200000000000001,3,8.404,3,8.404,885
10.200000000000001,4,,,,0
10.200000000000001,0,7.363,3,7.164,1117
10.200000000000001,2,7.866,2,7.866,1030
10.200000000000001,1,8.049,1,8.049,961
10.200000000000001,3,8.379,3,8.379,867
10.200000000000001,4,,,,0
10.200000000000001,3,8.823,3,8.823,54682
10.200000000000001,1,8.416,1,8.416,1225
10.200000000000001,4,,,,0
10.200000000000001,1,,,,0
10.200000000000001,2,9.083,2,9.083,1253
10.200000000000001,3,8.104,3,8.104,1158
10.200000000000001,1,8.921,1,8.921,968
10.200000000000001,1,9.293,1,9.293,1147
10.200000000000001,0,,,,0
10.200000000000001,3,8.717,3,8.717,1051
10.200000000000001,0,7.712,3,7.466,25824
10.200000000000001,0,8.267,1,7.584,63624
10.200000000000001,0,8.381,4,7.972,2379
10.200000000000001,4,7.885,4,7.885,1127
10.200000000000001,3,7.222,3,7.222,1188
10.200000000000001,2,,,,0
10.200000000000001,4,8.825,4,8.825,56758
10.200000000000001,3,8.07,3,8.07,998
10.200000000000001,2,,,,0
10.200000000000001,3,,,,0
10.200000000000001,2,,,,0
10.200000000000001,2,,,,0
10.200000000000001,0,8.542,0,8.542,15033
10.200000000000001,0,,,,0
10.200000000000001,4,8.931,4,8.931,901
10.200000000000001,2,8.593,2,8.593,1246
10.200000000000001,2,8.358,2,8.358,1126
10.200000000000001,3,7.278,1,7.267,1201
10.200000000000001,3,8.278,3,8.278,1200
10.200000000000001,1,8.15,1,8.15,1039
10.200000000000001,2,8.9,2,8.9,12913
10.200000000000001,0,8.053,0,8.053,1163
10.200000000000001,1,8.205,2,8.075,15598
10.200000000000001,2,9.281,2,9.281,42241
10.200000000000001,4,,,,0
10.200000000000001,4,,,,0
