$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,No_units
2,8.029,1,6.249,58601,150.0
3,8.972,1,7.375,77447,150.0
3,7.648,4,7.212,42390,150.0
1,9.125,1,9.125,80180,150.0
2,7.992,4,7.254,25940,150.0
4,8.53,4,8.53,23326,150.0
3,8.048,1,6.248,38715,150.0
2,7.27,4,7.233,20248,150.0
2,7.937,1,7.113,25240,150.0
3,7.936,4,7.404,93006,150.0
0,8.138,3,6.674,175108,400.0
4,8.666,1,7.117,79081,400.0
0,8.417,4,8.387,246292,400.0
2,8.069,1,7.058,218017,400.0
1,7.851,1,7.851,137496,400.0
2,7.961,2,7.961,38975,400.0
3,8.033,3,8.033,100494,400.0
3,8.405,3,8.405,44303,400.0
4,7.396,4,7.396,354871,400.0
4,7.292,0,6.44,314194,400.0
3,7.611,1,7.199,396773,650.0
2,7.232,1,6.95,537369,650.0
0,7.642,0,7.642,273217,650.0
0,7.758,2,7.358,552041,650.0
1,7.749,1,7.749,1155681,650.0
4,8.556,4,8.556,177637,650.0
1,7.95,4,7.219,247331,650.0
2,7.991,3,7.673,178308,650.0
0,7.598,1,6.506,226207,650.0
4,8.03,0,6.544,333104,650.0
3,8.925,1,6.959,424819,900.0
2,7.959,1,7.178,149329,900.0
3,9.021,1,6.985,326801,900.0
1,8.364,1,8.364,2028570,900.0
2,7.603,1,7.094,1220634,900.0
3,9.209,1,6.82,894091,900.0
0,8.253,0,8.253,618412,900.0
3,7.564,1,6.822,280236,900.0
4,7.525,3,7.037,331217,900.0
2,7.489,1,6.785,679001,900.0
0,8.826,1,8.471,692329,1150.0
4,8.558,4,8.558,785639,1150.0
4,7.703,2,7.189,626884,1150.0
4,7.798,0,7.589,642489,1150.0
0,8.767,0,8.767,311857,1150.0
3,8.913,0,8.603,1089332,1150.0
4,7.428,4,7.428,259969,1150.0
0,8.58,2,7.36,942891,1150.0
3,8.424,4,7.703,599609,1150.0
4,8.646,4,8.646,386619,1150.0
0,8.105,4,5.338,6581119,2150.0
4,9.386,2,7.003,4745484,2150.0
4,8.848,4,8.848,2288885,2150.0
3,8.262,3,8.262,1369644,2150.0
0,8.459,3,7.683,3167375,2150.0
1,8.438,1,8.438,1304604,2150.0
0,8.33,3,7.428,4419758,2150.0
4,6.975,4,6.975,1536810,2150.0
1,8.418,3,7.236,8539647,2150.0
1,9.246,2,7.991,3126787,2150.0
0,9.113,0,9.113,820664,2400.0
0,9.428,3,7.501,3077940,2400.0
2,9.507,2,9.507,1925180,2400.0
4,8.816,0,8.755,3214145,2400.0
0,6.861,1,6.585,10876705,2400.0
2,8.08,2,8.08,3407757,2400.0
1,7.546,4,7.109,3468311,2400.0
2,7.045,4,6.778,1382840,2400.0
