$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
1.3000000000000003,3,8.6,2,7.24,11327
1.3000000000000003,2,8.151,0,7.217,1133
1.3000000000000003,1,8.387,4,6.92,2879
1.3000000000000003,4,8.038,3,4.86,3042
1.3000000000000003,1,9.311,3,6.58,4429
1.3000000000000003,3,7.407,2,6.59,7064
1.3000000000000003,0,7.821,4,6.693,11801
1.3000000000000003,1,9.52,1,9.52,3182
1.3000000000000003,0,8.675,4,5.828,6330
1.3000000000000003,1,8.708,0,6.663,4331
1.3000000000000003,1,7.503,1,7.503,6216
1.3000000000000003,1,8.177,0,6.533,8332
1.3000000000000003,3,8.007,3,8.007,4216
1.3000000000000003,2,8.14,3,6.18,5190
1.3000000000000003,4,7.688,2,5.136,3557
1.3000000000000003,2,9.356,2,9.356,4917
1.3000000000000003,1,7.638,0,6.447,7522
1.3000000000000003,4,8.475,0,7.612,7715
1.3000000000000003,2,7.932,1,6.591,3061
1.3000000000000003,1,9.219,4,6.77,7686
1.3000000000000003,2,8.349,4,6.549,6357
1.3000000000000003,1,7.869,3,6.589,4109
1.3000000000000003,4,8.982,4,8.982,4737
1.3000000000000003,1,8.972,0,6.253,7068
1.3000000000000003,2,8.429,1,5.925,2794
1.3000000000000003,3,8.172,3,8.172,5334
1.3000000000000003,1,7.845,3,7.04,6614
1.3000000000000003,3,7.85,3,7.85,1166
1.3000000000000003,1,7.679,0,6.669,7242
1.3000000000000003,2,8.713,2,8.713,6752
1.3000000000000003,2,8.715,4,7.837,841
1.3000000000000003,1,7.671,4,7.079,2790
1.3000000000000003,1,9.16,3,6.341,2311
1.3000000000000003,0,8.219,4,5.028,6189
1.3000000000000003,1,7.863,4,5.523,3610
1.3000000000000003,2,7.758,3,6.37,7746
1.3000000000000003,0,8.482,4,7.625,10055
1.3000000000000003,0,9.207,1,8.136,10609
1.3000000000000003,4,8.762,4,8.762,1680
1.3000000000000003,3,7.877,4,6.068,4394
1.3000000000000003,1,8.624,2,7.975,2146
1.3000000000000003,2,8.25,1,6.424,998
1.3000000000000003,2,8.021,4,7.387,3957
1.3000000000000003,3,7.919,0,6.251,6021
1.3000000000000003,0,8.483,2,7.851,11940
1.3000000000000003,2,10.145,3,6.117,8191
1.3000000000000003,0,8.117,0,8.117,5649
1.3000000000000003,4,7.823,4,7.823,5536
1.3000000000000003,1,8.77,4,7.072,8030
1.3000000000000003,3,8.442,3,8.442,2311
1.3000000000000003,0,7.946,1,6.738,8282
1.3000000000000003,3,7.896,1,6.835,459
1.3000000000000003,2,9.198,4,6.33,6253
1.3000000000000003,1,8.119,4,7.95,4947
1.3000000000000003,2,7.82,0,6.097,3691
1.3000000000000003,4,7.848,3,6.491,3554
1.3000000000000003,2,7.787,4,7.127,9017
1.3000000000000003,0,8.207,0,8.207,7912
1.3000000000000003,3,7.558,1,7.212,10115
1.3000000000000003,2,6.871,0,5.117,651
1.3000000000000003,3,8.055,0,7.013,12937
1.3000000000000003,0,8.797,1,5.41,5868
1.3000000000000003,0,7.673,3,6.409,3473
1.3000000000000003,3,8.321,3,8.321,6281
1.3000000000000003,4,7.673,0,6.986,7035
1.3000000000000003,2,8.583,2,8.583,4478
1.3000000000000003,1,7.887,3,7.668,8087
1.3000000000000003,2,8.686,0,7.205,13471
1.3000000000000003,2,8.441,2,8.441,7199
1.3000000000000003,2,9.059,1,7.555,6573
1.3000000000000003,4,7.716,4,7.716,10995
1.3000000000000003,1,7.712,2,5.995,2492
1.3000000000000003,1,8.524,4,6.265,3171
1.3000000000000003,2,8.401,3,7.36,5068
1.3000000000000003,3,7.969,1,7.695,7800
1.3000000000000003,0,8.214,4,5.99,5279
1.3000000000000003,4,7.953,1,7.789,7001
1.3000000000000003,3,8.258,4,6.737,4039
1.3000000000000003,4,7.651,3,7.069,1929
1.3000000000000003,0,8.31,0,8.31,4915
1.3000000000000003,3,9.723,0,7.553,8297
1.3000000000000003,1,7.667,3,6.104,8202
1.3000000000000003,0,8.647,4,7.18,12409
1.3000000000000003,2,8.294,2,8.294,10068
1.3000000000000003,0,8.0,3,7.851,1539
1.3000000000000003,3,8.027,3,8.027,1430
1.3000000000000003,4,7.741,0,7.703,11539
1.3000000000000003,2,7.667,2,7.667,4364
1.3000000000000003,3,9.262,2,6.022,4270
1.3000000000000003,1,7.04,1,7.04,4513
1.3000000000000003,1,9.316,0,8.2,5283
1.3000000000000003,0,8.481,3,4.626,6816
1.3000000000000003,2,7.991,2,7.991,3572
1.3000000000000003,4,8.687,2,7.286,5905
1.3000000000000003,4,9.472,2,8.785,2414
1.3000000000000003,4,8.493,3,6.941,4893
1.3000000000000003,2,8.607,3,7.834,12580
1.3000000000000003,3,9.074,2,6.516,11335
1.3000000000000003,0,7.64,2,7.016,5340
1.3000000000000003,0,9.251,0,9.251,10732
