n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_{pred}}$,$\sigma_{h_{pred}}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,no:yes,after_replication_no:yes
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,7.924,2,7.924,8956,2.1578947368421053,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.052,0,8.052,7212,1.1818181818181819,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.428,1,8.139,1497,0.9354838709677419,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.989,0,8.989,6229,0.6,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.277,1,8.277,21744,0.875,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.012,0,8.012,6651,0.7391304347826086,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.351,1,8.351,3669,1.9268292682926829,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,7.592,1,7.133,5838,3.0,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.467,0,7.467,2722,3.1379310344827585,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.37,0,7.37,5130,6.5,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,6.721,1,6.599,469,14.0,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,9.303,1,8.484,11020,0.23711340206185566,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.828,1,7.828,14504,1.7272727272727273,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.893,0,8.893,307,1.9268292682926829,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,9.31,0,9.31,535,1.0338983050847457,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.178,1,8.178,4074,1.7906976744186047,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,9.082,1,8.46,8376,0.5384615384615384,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.251,0,8.251,2367,2.3333333333333335,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.135,1,7.898,2024,0.7391304347826086,
