n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_{pred}}$,$\sigma_{h_{pred}}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,no:yes,after_replication_no:yes
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,6.811,2,6.811,351,16.119828815977176,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,7.514,2,7.514,8530,2.1573270192054723,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,6.557,1,6.557,669,28.92768079800499,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.143,1,8.143,11145,1.0687812446129978,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,9.025,1,9.025,2991,0.1999800019998,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,8.25,2,8.25,5647,0.34827547466576786,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.115,1,8.115,2636,1.2639124693454065,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.048,1,7.048,413,10.989010989010989,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,6.984,2,6.984,5650,7.566024268379729,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,9.296,1,9.296,600,1.7902813299232738,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.6,1,8.6,3077,0.29029136651972903,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,7.402,2,7.402,1416,4.712041884816753,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.729,0,8.729,8987,0.363595046017498,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,6.767,2,6.767,418,28.92768079800499,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.976,0,7.976,549,3.136849362288866,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,10.818,2,10.818,17932,0.08107377713719484,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,8.471,2,8.471,692,1.7268802544876165,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.496,0,8.496,3728,0.9998333611064822,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,9.095,0,9.095,784,1.4486839420526423,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.351,2,8.063,25615,0.8748633026089673,
2,60,0,7.1,0.6557359594276456,7.555075000000001,0.6325399002593972,0,8.055,1,8.013,8062,0.2765663227316243,0.8461538461538461
2,60,0,7.1,0.6557359594276456,7.555075000000001,0.6325399002593972,0,7.051,0,7.051,3422,6.995336442371753,0.8461538461538461
2,60,0,7.1,0.6557359594276456,7.555075000000001,0.6325399002593972,1,7.243,1,7.243,5921,3.2845412352731165,0.8461538461538461
2,60,0,7.1,0.6557359594276456,7.555075000000001,0.6325399002593972,0,7.751,1,7.703,12093,0.5999200106652446,0.8461538461538461
2,60,0,7.1,0.6557359594276456,7.555075000000001,0.6325399002593972,0,7.841,0,7.841,322,1.8567007855272555,0.8461538461538461
2,60,0,7.1,0.6557359594276456,7.555075000000001,0.6325399002593972,0,8.595,0,8.595,356,1.0337230977800373,0.8461538461538461
2,60,0,7.1,0.6557359594276456,7.555075000000001,0.6325399002593972,1,5.956,1,5.956,432,117.82178217821782,0.8461538461538461
2,60,0,7.1,0.6557359594276456,7.555075000000001,0.6325399002593972,1,7.286,1,7.286,1815,3.613994617454825,0.8461538461538461
