n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
3,40,0,7.570799999998902,0.6789800056229955,1,7.427,1,7.427,15490
3,40,0,7.570799999998902,0.6789800056229955,2,8.032,0,7.478,4946
3,40,0,7.570799999998902,0.6789800056229955,0,8.287,2,7.281,8390
3,40,0,7.570799999998902,0.6789800056229955,1,8.318,1,8.318,20946
3,40,0,7.570799999998902,0.6789800056229955,2,7.914,2,7.914,406
3,40,0,7.570799999998902,0.6789800056229955,0,6.964,2,6.613,4499
3,40,0,7.570799999998902,0.6789800056229955,1,9.159,0,8.439,13949
3,40,0,7.570799999998902,0.6789800056229955,0,8.442,0,8.442,5036
3,40,0,7.570799999998902,0.6789800056229955,2,8.453,2,8.453,398
3,40,0,7.570799999998902,0.6789800056229955,2,8.473,2,8.473,1248
3,40,0,7.570799999998902,0.6789800056229955,1,8.157,1,8.157,3578
3,40,0,7.570799999998902,0.6789800056229955,2,7.545,2,7.545,959
3,40,0,7.570799999998902,0.6789800056229955,1,6.783,2,6.694,1088
3,40,0,7.570799999998902,0.6789800056229955,0,8.17,0,8.17,7283
3,40,0,7.570799999998902,0.6789800056229955,2,8.554,2,8.554,8645
3,40,0,7.570799999998902,0.6789800056229955,0,7.763,0,7.763,7835
3,40,0,7.570799999998902,0.6789800056229955,1,7.601,2,7.577,10097
3,40,0,7.570799999998902,0.6789800056229955,0,7.199,1,6.865,14625
3,40,0,7.570799999998902,0.6789800056229955,0,7.692,0,7.692,7045
3,40,0,7.570799999998902,0.6789800056229955,0,7.043,1,6.775,2436
3,40,0,7.573233333333335,0.7091382832437584,2,7.994,2,7.994,3246
3,40,0,7.573233333333335,0.7091382832437584,0,8.674,1,6.782,16176
3,40,0,7.573233333333335,0.7091382832437584,0,7.042,0,7.042,453
3,40,0,7.573233333333335,0.7091382832437584,0,9.35,2,7.587,13911
3,40,0,7.573233333333335,0.7091382832437584,0,7.515,2,7.344,13553
3,40,0,7.573233333333335,0.7091382832437584,0,7.216,2,7.028,2145
3,40,0,7.573233333333335,0.7091382832437584,1,8.801,0,7.06,7379
3,40,0,7.573233333333335,0.7091382832437584,1,7.967,1,7.967,3663
3,40,0,7.573233333333335,0.7091382832437584,2,8.942,2,8.942,3209
3,40,0,7.573233333333335,0.7091382832437584,0,6.856,0,6.856,9560
3,40,0,7.573233333333335,0.7091382832437584,0,8.312,0,8.312,8572
3,40,0,7.573233333333335,0.7091382832437584,2,7.526,2,7.526,459
3,40,0,7.573233333333335,0.7091382832437584,1,8.477,1,8.477,772
3,40,0,7.573233333333335,0.7091382832437584,2,6.489,2,6.489,481
3,40,0,7.573233333333335,0.7091382832437584,0,,,,0
3,40,0,7.573233333333335,0.7091382832437584,0,7.475,0,7.475,3919
3,40,0,7.573233333333335,0.7091382832437584,2,9.075,0,8.115,2787
3,40,0,7.573233333333335,0.7091382832437584,0,8.021,2,7.067,17885
3,40,0,7.573233333333335,0.7091382832437584,0,8.547,0,8.547,327
3,40,0,7.573233333333335,0.7091382832437584,1,8.812,2,7.577,8206
2,60,0,7.573233333333335,0.7091382832437584,1,7.396,0,6.806,19270
2,60,0,7.573233333333335,0.7091382832437584,0,7.594,0,7.594,2090
2,60,0,7.573233333333335,0.7091382832437584,0,9.004,0,9.004,1062
2,60,0,7.573233333333335,0.7091382832437584,1,7.086,1,7.086,700
2,60,0,7.573233333333335,0.7091382832437584,1,6.862,1,6.862,2045
2,60,0,7.573233333333335,0.7091382832437584,1,8.453,1,8.453,3179
2,60,0,7.573233333333335,0.7091382832437584,0,8.993,0,8.993,2799
2,60,0,7.573233333333335,0.7091382832437584,0,7.344,0,7.344,15676
2,60,0,7.573233333333335,0.7091382832437584,0,7.822,0,7.822,334
2,60,0,7.573233333333335,0.7091382832437584,0,6.841,0,6.841,438
2,60,0,7.573233333333335,0.7091382832437584,0,8.069,0,8.069,375
2,60,0,7.573233333333335,0.7091382832437584,1,9.751,1,9.751,3012
2,60,0,7.573233333333335,0.7091382832437584,1,7.073,1,7.073,463
2,60,0,7.573233333333335,0.7091382832437584,0,6.876,0,6.876,1643
2,60,0,7.573233333333335,0.7091382832437584,0,8.729,1,7.656,13862
2,60,0,7.573233333333335,0.7091382832437584,1,8.223,1,8.223,10148
2,60,0,7.573233333333335,0.7091382832437584,1,7.692,1,7.692,419
2,60,0,7.573233333333335,0.7091382832437584,1,7.693,1,7.693,7943
2,60,0,7.573233333333335,0.7091382832437584,1,6.082,1,6.082,616
2,60,0,7.573233333333335,0.7091382832437584,1,7.122,1,7.122,396
3,40,0,7.573233333333335,0.7091382832437584,1,7.694,1,7.694,503
3,40,0,7.573233333333335,0.7091382832437584,0,7.967,0,7.967,403
3,40,0,7.573233333333335,0.7091382832437584,2,8.923,0,7.981,2353
3,40,0,7.573233333333335,0.7091382832437584,0,8.418,0,8.418,7297
3,40,0,7.573233333333335,0.7091382832437584,2,,,,0
3,40,0,7.573233333333335,0.7091382832437584,0,8.16,0,8.16,492
3,40,0,7.573233333333335,0.7091382832437584,0,7.553,0,7.553,1607
3,40,0,7.573233333333335,0.7091382832437584,1,7.95,2,6.836,3153
