$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.0,0.0,0.0,0.0,0.98,,
0.0,0.0,0.1,0.1,0.95,,
0.0,0.0,0.2,0.2,0.94,,
0.0,0.0,0.3,0.3,0.92,,
0.0,0.0,0.4,0.4,0.94,,
0.0,0.0,0.5,0.5,0.93,,
0.0,0.0,0.6,0.6,0.93,,
0.0,0.0,0.7,0.7,0.92,,
0.0,0.0,0.8,0.8,0.89,,
0.0,0.0,0.9,0.9,0.9,,
0.0,0.0,1.0,1.0,0.95,,
0.0,0.0,1.1,1.1,0.83,,
0.0,0.0,1.2,1.2,0.92,,
0.0,0.0,1.3,1.3,0.96,,
0.0,0.0,1.4,1.4,0.89,,
0.0,0.0,1.5,1.5,0.89,,
0.0,0.0,1.6,1.6,0.9,,
0.0,0.0,1.7,1.7,0.89,,
0.0,0.0,1.8,1.8,0.92,,
0.0,0.0,1.9,1.9,0.82,,
0.0,0.0,2.0,2.0,0.85,,
0.0,0.0,2.1,2.1,0.88,,
0.0,0.0,2.2,2.2,0.85,,
0.0,0.0,2.3,2.3,0.79,,
0.0,0.0,2.4,2.4,0.83,,
0.0,0.0,2.5,2.5,0.73,,
0.0,0.0,2.6,2.6,0.75,,
0.0,0.0,2.7,2.7,0.73,,
0.0,0.0,2.8,2.8,0.77,,
0.0,0.0,2.9,2.9,0.65,,
0.0,0.0,3.0,3.0,0.66,,
0.0,0.0,3.1,3.1,0.74,,
0.0,0.0,3.2,3.2,0.6,,
0.0,0.0,3.3,3.3,0.63,,
0.0,0.0,3.4,3.4,0.69,,
0.0,0.0,3.5,3.5,0.73,,
0.0,0.0,3.6,3.6,0.67,,
0.0,0.0,3.7,3.7,0.62,,
0.0,0.0,3.8,3.8,0.58,,
0.0,0.0,3.9,3.9,0.54,,
0.0,0.0,4.0,4.0,0.51,,
0.0,0.0,4.1,4.1,0.49,,
0.0,0.0,4.2,4.2,0.61,,
0.0,0.0,4.3,4.3,0.51,,
0.0,0.0,4.4,4.4,0.52,,
0.0,0.0,4.5,4.5,0.49,,
0.0,0.0,4.6,4.6,0.55,,
0.0,0.0,4.7,4.7,0.53,,
0.0,0.0,4.8,4.8,0.43,,
0.0,0.0,4.9,4.9,0.41,,
0.0,0.0,5.0,5.0,0.57,,
0.0,0.0,5.1,5.1,0.51,,
0.0,0.0,5.2,5.2,0.48,,
0.0,0.0,5.3,5.3,0.45,,
0.0,0.0,5.4,5.4,0.42,,
0.0,0.0,5.5,5.5,0.51,,
0.0,0.0,5.6,5.6,0.53,,
0.0,0.0,5.7,5.7,0.45,,
0.0,0.0,5.8,5.8,0.5,,
0.0,0.0,5.9,5.9,0.49,,
0.0,0.0,6.0,6.0,0.54,,
0.0,0.0,6.1,6.1,0.54,,
0.0,0.0,6.2,6.2,0.54,,
