$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
2.7,1,7.656,0,7.398,3726
2.7,1,6.917,1,6.917,16548
2.7,0,8.083,1,6.65,6187
2.7,1,7.972,0,7.782,1827
2.7,0,7.245,1,7.217,7295
2.7,1,7.568,0,5.714,7459
2.7,1,9.435,1,9.435,2790
2.7,0,7.575,0,7.575,16286
2.7,0,7.833,1,6.495,2177
2.7,1,7.168,1,7.168,1498
2.7,0,7.389,0,7.389,5871
2.7,0,7.088,1,6.816,1683
2.7,0,8.403,0,8.403,3515
2.7,0,8.239,0,8.239,4529
2.7,0,7.591,0,7.591,6455
2.7,1,7.141,1,7.141,11909
2.7,1,7.342,1,7.342,3644
2.7,0,7.542,0,7.542,7722
2.7,1,7.839,0,5.038,3835
2.7,0,7.575,1,6.764,4545
2.7,1,7.367,1,7.367,1496
2.7,1,7.536,1,7.536,11051
2.7,1,6.929,1,6.929,11798
2.7,1,6.941,1,6.941,627
2.7,1,8.315,0,8.034,12054
2.7,0,7.463,1,6.032,4782
2.7,0,8.158,0,8.158,5677
2.7,1,6.609,1,6.609,4694
2.7,1,6.054,0,5.85,4170
2.7,0,6.848,0,6.848,9214
2.7,0,7.489,1,7.119,4248
2.7,0,7.673,0,7.673,5906
2.7,0,6.974,1,6.552,12379
2.7,0,7.938,0,7.938,1495
2.7,1,9.426,1,9.426,6873
2.7,0,8.41,1,7.139,3731
2.7,0,8.102,0,8.102,13642
2.7,0,7.878,0,7.878,5107
2.7,0,6.138,1,5.126,1292
2.7,1,7.055,0,6.559,5446
2.7,1,7.573,1,7.573,2675
2.7,1,7.713,1,7.713,1531
2.7,1,7.915,0,5.914,10350
2.7,0,7.606,1,6.339,1674
2.7,0,8.047,0,8.047,2307
2.7,1,7.581,0,6.41,4116
2.7,0,7.121,1,6.229,1595
2.7,1,8.057,0,5.537,2289
2.7,0,9.13,0,9.13,1927
2.7,0,7.695,1,7.282,2554
2.7,1,8.693,1,8.693,3532
2.7,0,6.401,0,6.401,5352
2.7,1,7.301,0,6.4,6097
2.7,0,6.912,0,6.912,4754
2.7,0,7.82,1,6.872,1420
2.7,1,7.217,1,7.217,581
2.7,0,8.239,1,7.047,5217
2.7,1,8.971,1,8.971,7580
2.7,0,6.694,0,6.694,6141
2.7,1,7.58,1,7.58,2546
2.7,0,8.111,1,5.948,4056
2.7,1,8.658,0,6.105,11039
2.7,0,8.837,1,8.779,9410
2.7,0,6.792,0,6.792,1497
2.7,0,8.211,1,7.335,2195
2.7,0,8.392,0,8.392,1324
2.7,0,7.327,0,7.327,1148
2.7,1,9.347,0,8.0,6195
2.7,0,6.455,0,6.455,1840
2.7,0,8.043,0,8.043,1339
2.7,1,8.165,0,7.639,1868
2.7,1,7.647,1,7.647,15404
2.7,1,6.759,0,6.218,4642
2.7,0,7.115,1,6.165,8769
2.7,1,7.482,0,7.232,6069
2.7,1,7.292,1,7.292,880
2.7,1,7.14,0,6.909,5554
2.7,0,6.12,0,6.12,5779
2.7,1,5.707,0,5.666,3571
2.7,0,6.077,0,6.077,4008
2.7,0,8.293,1,7.729,3796
2.7,1,8.116,1,8.116,3114
2.7,1,7.155,1,7.155,3639
2.7,1,7.318,0,6.626,7223
2.7,0,8.251,1,7.16,7722
2.7,0,7.427,0,7.427,2977
2.7,0,9.473,0,9.473,20336
2.7,1,7.836,0,6.547,4034
2.7,1,7.688,1,7.688,11725
2.7,0,6.476,1,5.599,10898
2.7,1,8.203,1,8.203,9250
2.7,0,6.392,0,6.392,4368
2.7,1,8.101,0,6.95,4905
2.7,1,7.306,1,7.306,2209
2.7,0,6.861,0,6.861,4195
2.7,1,8.069,1,8.069,718
2.7,0,8.568,1,6.582,6161
2.7,0,6.477,0,6.477,3537
2.7,0,7.785,1,6.4,3981
2.7,0,8.551,1,7.216,1057
