$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
1,11.238,1,11.238,1500
2,10.982,0,9.941,14689
0,10.585,0,10.585,13330
1,11.187,0,10.791,18096
0,11.341,0,11.341,2858
2,10.749,2,10.749,6924
1,11.211,0,10.799,24988
1,10.431,1,10.431,4149
1,10.812,1,10.812,2092
0,10.404,0,10.404,1710
2,11.76,0,10.334,20969
2,10.489,1,10.483,21466
2,10.236,0,9.952,7571
0,10.905,0,10.905,5692
2,11.204,2,11.204,2182
1,11.088,0,10.009,17917
0,10.449,0,10.449,3981
2,11.05,1,10.478,12105
0,10.701,0,10.701,10334
0,10.615,0,10.615,1385
1,10.93,1,10.93,6904
0,9.925,0,9.925,815
1,11.183,1,11.183,3424
2,12.082,2,12.082,3876
2,11.513,2,11.513,14880
2,10.754,1,10.603,7008
2,12.207,1,9.778,5794
1,11.419,1,11.419,14761
2,10.098,2,10.098,785
1,11.565,1,11.565,22109
2,10.785,2,10.785,2893
2,10.207,2,10.207,8518
0,11.772,0,11.772,2600
2,12.742,2,12.742,2363
2,9.927,0,9.616,12047
1,10.82,1,10.82,4962
2,10.221,2,10.221,3980
2,10.14,2,10.14,776
1,10.511,1,10.511,36634
0,10.663,0,10.663,29808
2,9.785,2,9.785,8711
0,11.278,1,10.316,5684
1,11.221,2,10.816,9709
1,9.563,2,9.368,1248
2,11.716,2,11.716,1512
2,10.049,2,10.049,410
1,11.455,0,10.957,18437
1,10.348,1,10.348,464
1,9.943,1,9.943,1102
0,10.599,0,10.599,600
0,10.317,0,10.317,11369
0,10.674,1,10.236,10495
1,11.746,0,11.28,12762
2,10.934,2,10.934,2422
2,10.271,2,10.271,2549
0,10.215,2,9.971,16142
0,10.088,0,10.088,579
0,10.78,0,10.78,555
1,10.442,2,9.887,26251
2,11.968,2,11.968,6804
0,11.569,0,11.569,384
2,10.129,0,9.717,28636
1,10.959,1,10.959,12489
2,11.31,0,10.012,12614
2,10.59,0,10.16,10577
1,11.024,1,11.024,838
0,11.091,2,10.033,13688
1,10.742,0,10.074,17913
1,9.4,1,9.4,587
1,10.102,1,10.102,497
2,11.561,2,11.561,7197
1,11.061,0,10.386,17066
0,11.266,0,11.266,9031
1,10.056,1,10.056,2784
2,11.207,2,11.207,2179
2,10.817,0,10.61,10800
0,11.314,0,11.314,4339
0,9.945,0,9.945,614
2,11.873,0,10.799,16957
2,10.895,2,10.895,14729
0,11.064,0,11.064,3413
2,10.19,2,10.19,2865
2,10.809,2,10.809,585
1,11.472,1,11.472,10376
0,10.893,0,10.893,12368
2,11.245,2,11.245,59858
2,10.03,2,10.03,601
1,10.84,1,10.84,12198
2,12.451,2,12.451,9141
1,11.09,1,11.09,8807
1,11.411,1,11.411,14960
0,11.497,2,11.041,2569
2,11.25,1,10.436,18223
1,11.018,1,11.018,3979
2,10.596,2,10.596,36719
2,9.801,2,9.801,583
2,10.719,2,10.719,3181
1,10.158,1,10.158,696
1,9.667,1,9.667,5912
2,10.294,2,10.294,1288
