nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
2,50,0.948,0.13240178691663382,0.054,0.052
2,70,0.93,0.13002055506481927,0.067,0.068
2,90,0.95,0.1030009532962623,0.054,0.05
2,110,0.962,0.09713990053040499,0.04,0.04
2,130,0.95,0.09269813563692728,0.05,0.052
2,150,0.954,0.0818732296512619,0.05,0.048
2,170,0.946,0.0768343281965543,0.055,0.056
2,190,0.97,0.06005158638800777,0.031,0.032
2,210,0.974,0.06455552371087128,0.026,0.028
2,230,0.972,0.06933640849689268,0.029,0.03
2,250,0.974,0.0732015431239384,0.026,0.026
2,270,0.972,0.05754997536511663,0.03,0.028
2,290,0.986,0.04838906574231818,0.017,0.016
2,310,0.978,0.06279411662059745,0.021,0.02
2,330,0.98,0.0538411797274519,0.024,0.022
2,350,0.982,0.037022575196091964,0.02,0.02
2,370,0.978,0.04252974746318544,0.023,0.024
2,390,0.978,0.049549384779816186,0.024,0.024
2,410,0.982,0.053175885218787654,0.021,0.02
2,430,0.99,0.04281153424073248,0.015,0.012
2,450,0.98,0.050257947655666796,0.021,0.018
2,470,0.982,0.040945293910267556,0.021,0.02
2,490,0.974,0.04264289496803943,0.028,0.028
2,510,0.988,0.038277493042283145,0.015,0.014
2,530,0.982,0.043565286842786925,0.021,0.02
2,550,0.982,0.03474939091986926,0.02,0.02
2,570,0.98,0.052177439481515965,0.022,0.02
2,590,0.98,0.04490596907251484,0.023,0.024
2,610,0.988,0.043847002976950614,0.015,0.014
2,630,0.982,0.040194677701471455,0.02,0.02
2,650,0.976,0.04638427918535508,0.026,0.026
2,670,0.964,0.04245768371060311,0.038,0.038
2,690,0.974,0.0495449844774073,0.026,0.026
2,710,0.988,0.03369419718497677,0.014,0.012
2,730,0.986,0.03813969902091024,0.016,0.016
2,750,0.99,0.031919635842749906,0.011,0.012
2,770,0.99,0.03379270639767525,0.012,0.012
2,790,0.982,0.033407842001574324,0.02,0.02
2,810,0.988,0.03049658271892362,0.015,0.014
2,830,0.982,0.03597187163243684,0.018,0.018
2,850,0.98,0.040294823066803084,0.02,0.02
2,870,0.984,0.02892097781820193,0.018,0.018
2,890,0.992,0.025123824955118768,0.011,0.01
2,910,0.982,0.04098079938390895,0.019,0.02
2,930,0.992,0.034565730208236334,0.011,0.01
2,950,0.992,0.039230557608430354,0.012,0.012
2,970,0.992,0.03354585529361117,0.01,0.01
2,990,0.992,0.021466320026101177,0.01,0.01
2,1010,0.99,0.023030957879061415,0.012,0.012
2,1030,0.99,0.035055364307426735,0.013,0.012
2,1050,0.992,0.02123856585191113,0.009,0.01
2,1070,0.986,0.03054059277429457,0.016,0.016
2,1090,0.988,0.02579176846286607,0.015,0.014
2,1110,0.988,0.034646916245785184,0.015,0.014
2,1130,0.99,0.022206731121008405,0.01,0.012
2,1150,0.988,0.021517885404729056,0.013,0.014
2,1170,0.994,0.015242727109325288,0.007,0.008
2,1190,0.982,0.029919545777347498,0.024,0.024
2,1210,0.99,0.026889066898937924,0.011,0.01
2,1230,0.986,0.02257034624409786,0.015,0.014
2,1250,0.992,0.028202367275104504,0.009,0.01
2,1270,0.99,0.019146394595064082,0.012,0.012
2,1290,0.994,0.019469817611059828,0.008,0.008
2,1310,0.986,0.030346581935932312,0.016,0.016
2,1330,0.982,0.02759882586636349,0.02,0.02
2,1350,0.986,0.02889960598973936,0.016,0.016
2,1370,0.984,0.017727872346008866,0.018,0.018
2,1390,0.996,0.02865254415595056,0.006,0.006
2,1410,0.998,0.02746946981428645,0.004,0.004
2,1430,0.99,0.0198278086711942,0.012,0.012
2,1450,0.978,0.025592159206777657,0.022,0.02
2,1470,0.99,0.025019589009980355,0.012,0.012
2,1490,0.996,0.030552173654321092,0.006,0.006
5,50,0.866,0.23783375677948881,0.06560000000000014,0.06580000000000018
5,70,0.868,0.22463812083456905,0.054900000000000136,0.05460000000000013
5,90,0.906,0.19391229012173006,0.04370000000000007,0.04320000000000005
5,110,0.898,0.16155082411367924,0.03700000000000002,0.037200000000000004
5,130,0.914,0.16424921782258023,0.03509999999999998,0.03659999999999997
5,150,0.91,0.16236162090214173,0.03790000000000002,0.037599999999999995
5,170,0.914,0.1388484823158677,0.03910000000000003,0.03880000000000001
5,190,0.93,0.1403343226616423,0.029399999999999947,0.028999999999999932
5,210,0.926,0.12089762641920819,0.028999999999999963,0.02939999999999994
5,230,0.942,0.12448504939501474,0.02869999999999996,0.02979999999999994
5,250,0.942,0.1281211139682292,0.027299999999999963,0.027199999999999946
5,270,0.94,0.12333605949209944,0.029599999999999953,0.029399999999999933
5,290,0.95,0.09587367782275404,0.024299999999999964,0.023999999999999955
5,310,0.946,0.11034351342912169,0.023199999999999974,0.023399999999999956
5,330,0.932,0.13423464034685734,0.027999999999999966,0.02799999999999994
5,350,0.938,0.10462480900629843,0.025799999999999962,0.026599999999999943
5,370,0.948,0.10108977102446523,0.023199999999999957,0.023399999999999952
5,390,0.946,0.10493386869564786,0.025999999999999957,0.026399999999999948
5,410,0.946,0.09766615087897022,0.024299999999999954,0.02519999999999995
5,430,0.94,0.10037625976063644,0.02339999999999996,0.023599999999999958
5,450,0.952,0.08618733759197378,0.02309999999999996,0.02279999999999996
5,470,0.962,0.08599881471074927,0.019299999999999977,0.018999999999999975
5,490,0.948,0.08968876075294746,0.020999999999999974,0.02059999999999997
5,510,0.956,0.08447894713899502,0.021699999999999966,0.02139999999999996
5,530,0.966,0.08322951984819311,0.01779999999999998,0.017799999999999976
5,550,0.962,0.07627015078989387,0.018299999999999976,0.017999999999999974
5,570,0.958,0.07891801293777252,0.018799999999999973,0.01859999999999997
5,590,0.964,0.09338582775906194,0.017299999999999982,0.01719999999999998
5,610,0.956,0.09041937098198886,0.017199999999999976,0.016399999999999974
5,630,0.946,0.09517306646306148,0.018599999999999978,0.018599999999999974
5,650,0.982,0.061740266288685855,0.016199999999999982,0.01659999999999998
5,670,0.962,0.0792492052045041,0.016899999999999978,0.017199999999999976
5,690,0.954,0.09030507534650054,0.017799999999999972,0.01779999999999997
5,710,0.974,0.07824892861872787,0.01499999999999998,0.014799999999999982
5,730,0.96,0.08084812429755864,0.015599999999999978,0.015799999999999977
5,750,0.97,0.05502165349828308,0.014299999999999983,0.014399999999999982
5,770,0.954,0.08019726630734525,0.01859999999999997,0.01859999999999997
5,790,0.96,0.06820390974927903,0.016199999999999982,0.016199999999999982
5,810,0.97,0.055507828093544966,0.013099999999999985,0.012999999999999986
5,830,0.954,0.06380471476009118,0.01599999999999998,0.01599999999999998
5,850,0.984,0.061671441942706504,0.014199999999999985,0.014199999999999985
5,870,0.972,0.06488277537522327,0.015499999999999986,0.015399999999999987
5,890,0.984,0.053348662611730616,0.014899999999999983,0.014799999999999983
5,910,0.954,0.08198971168310827,0.013799999999999984,0.014199999999999983
5,930,0.968,0.06739192776988244,0.013599999999999984,0.013199999999999984
5,950,0.968,0.061191698286385904,0.014399999999999982,0.014199999999999983
5,970,0.984,0.05882034514074485,0.012899999999999986,0.01239999999999999
5,990,0.97,0.06195581140646102,0.01229999999999999,0.01219999999999999
5,1010,0.97,0.055743126876285645,0.012099999999999991,0.012799999999999988
5,1030,0.982,0.053295436811121595,0.014399999999999987,0.014399999999999987
5,1050,0.978,0.06043935601896062,0.01409999999999998,0.013799999999999982
5,1070,0.976,0.06487491867159018,0.01349999999999999,0.013399999999999988
