$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.0,0.0,0.0,0.0,0.77
0.0,0.0,0.1,0.1,0.752
0.0,0.0,0.2,0.2,0.782
0.0,0.0,0.3,0.3,0.796
0.0,0.0,0.4,0.4,0.792
0.0,0.0,0.5,0.5,0.762
0.0,0.0,0.6,0.6,0.796
0.0,0.0,0.7,0.7,0.766
0.0,0.0,0.8,0.8,0.794
0.0,0.0,0.9,0.9,0.834
0.0,0.0,1.0,1.0,0.798
0.0,0.0,1.1,1.1,0.812
0.0,0.0,1.2,1.2,0.818
0.0,0.0,1.3,1.3,0.832
0.0,0.0,1.4,1.4,0.782
0.0,0.0,1.5,1.5,0.834
0.0,0.0,1.6,1.6,0.782
0.0,0.0,1.7,1.7,0.804
0.0,0.0,1.8,1.8,0.784
0.0,0.0,1.9,1.9,0.844
0.0,0.0,2.0,2.0,0.82
0.0,0.0,2.1,2.1,0.814
0.0,0.0,2.2,2.2,0.83
0.0,0.0,2.3,2.3,0.81
0.0,0.0,2.4,2.4,0.816
0.0,0.0,2.5,2.5,0.82
0.0,0.0,2.6,2.6,0.826
0.0,0.0,2.7,2.7,0.792
0.0,0.0,2.8,2.8,0.806
0.0,0.0,2.9,2.9,0.76
0.0,0.0,3.0,3.0,0.752
0.0,0.0,3.1,3.1,0.762
0.0,0.0,3.2,3.2,0.742
0.0,0.0,3.3,3.3,0.722
0.0,0.0,3.4,3.4,0.72
0.0,0.0,3.5,3.5,0.658
0.0,0.0,3.6,3.6,0.67
0.0,0.0,3.7,3.7,0.654
0.0,0.0,3.8,3.8,0.648
0.0,0.0,3.9,3.9,0.608
0.0,0.0,4.0,4.0,0.594
0.0,0.0,4.1,4.1,0.614
0.0,0.0,4.2,4.2,0.582
0.0,0.0,4.3,4.3,0.542
0.0,0.0,4.4,4.4,0.546
0.0,0.0,4.5,4.5,0.576
0.0,0.0,4.6,4.6,0.57
0.0,0.0,4.7,4.7,0.556
0.0,0.0,4.8,4.8,0.536
0.0,0.0,4.9,4.9,0.542
0.0,0.0,5.0,5.0,0.608
0.0,0.0,5.1,5.1,0.54
0.0,0.0,5.2,5.2,0.55
0.0,0.0,5.3,5.3,0.492
0.0,0.0,5.4,5.4,0.53
0.0,0.0,5.5,5.5,0.542
0.0,0.0,5.6,5.6,0.528
0.0,0.0,5.7,5.7,0.508
0.0,0.0,5.8,5.8,0.5
0.0,0.0,5.9,5.9,0.5
0.0,0.0,6.0,6.0,0.522
0.0,0.0,6.1,6.1,0.486
