$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.0,0.0,0.0,0.0,0.986,0.034079985505551594,0.012
0.0,0.0,0.1,0.1,0.98,0.031417646726846764,0.02
0.0,0.0,0.2,0.2,0.984,0.02570911324327443,0.017
0.0,0.0,0.3,0.3,0.984,0.03511998378326692,0.016
0.0,0.0,0.4,0.4,0.984,0.02691986702609374,0.016
0.0,0.0,0.5,0.5,0.984,0.03274548273253389,0.017
0.0,0.0,0.6,0.6,0.982,0.045009044781165714,0.021
0.0,0.0,0.7,0.7,0.988,0.027205768245125512,0.012
0.0,0.0,0.8,0.8,0.974,0.029549117892101743,0.025
0.0,0.0,0.9,0.9,0.984,0.029400263368442356,0.014
0.0,0.0,1.0,1.0,0.974,0.03660158374780617,0.026
0.0,0.0,1.1,1.1,0.966,0.05326437801606217,0.034
0.0,0.0,1.2,1.2,0.99,0.03201572545968397,0.009
0.0,0.0,1.3,1.3,0.968,0.05115897198023556,0.03
0.0,0.0,1.4,1.4,0.974,0.04428214887284842,0.023
0.0,0.0,1.5,1.5,0.964,0.04974970787529245,0.035
0.0,0.0,1.6,1.6,0.982,0.046981529750892065,0.019
0.0,0.0,1.7,1.7,0.966,0.052146122240051114,0.032
0.0,0.0,1.8,1.8,0.968,0.07910498813263465,0.034
0.0,0.0,1.9,1.9,0.954,0.08168962278633814,0.045
0.0,0.0,2.0,2.0,0.954,0.07138562588932663,0.045
0.0,0.0,2.1,2.1,0.944,0.09489605319019406,0.05
0.0,0.0,2.2,2.2,0.958,0.08613216283883521,0.039
0.0,0.0,2.3,2.3,0.94,0.1171471507035196,0.061
0.0,0.0,2.4,2.4,0.922,0.14657824909585523,0.073
0.0,0.0,2.5,2.5,0.922,0.1527130972693847,0.078
0.0,0.0,2.6,2.6,0.924,0.15596152676549171,0.072
0.0,0.0,2.7,2.7,0.89,0.19640651093949854,0.096
0.0,0.0,2.8,2.8,0.888,0.24325742051971175,0.114
0.0,0.0,2.9,2.9,0.892,0.25033009812354423,0.115
0.0,0.0,3.0,3.0,0.844,0.2877008199826502,0.145
0.0,0.0,3.1,3.1,0.852,0.29385416445750195,0.137
0.0,0.0,3.2,3.2,0.84,0.31695425147414735,0.151
