nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
2,50,0.92,0.14077342916532398,0.026,
2,250,0.97,0.05320738010876791,0.008,
2,450,0.95,0.05676129014680308,0.002,
2,650,0.986,0.04769974779228127,0.0,
2,850,0.984,0.039131402774513824,0.0,
2,1050,0.994,0.026304241114927036,0.0,
2,1250,0.984,0.027251307991596484,0.002,
2,1450,0.992,0.027915041990106783,0.004,
5,50,0.876,0.20939729226922627,0.02159999999999996,
5,250,0.932,0.11320829017141355,0.0019999999999999996,
5,450,0.964,0.0852222651872469,0.0028000000000000004,
5,650,0.95,0.07288842420483435,0.0012,
5,850,0.958,0.07455398995303343,0.0014,
5,1050,0.968,0.065043851572819,0.0006000000000000001,
5,1250,0.98,0.05335315739714727,0.0006000000000000001,
5,1450,0.98,0.04199014236229063,0.0002,
10,50,0.804,0.2902539075222015,0.01946666666666662,
10,250,0.888,0.16718696623896928,0.004044444444444441,
10,450,0.942,0.12190026080897051,0.002444444444444444,
10,650,0.934,0.12548031238609383,0.001555555555555556,
10,850,0.96,0.10015349696778644,0.0011555555555555553,
10,1050,0.956,0.10026572849962884,0.0010222222222222217,
10,1250,0.962,0.07512243615176867,0.0009333333333333329,
10,1450,0.968,0.06915969056248174,0.0003111111111111111,
