$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.0,0.0,0.0,0.0,0.904,0.1624566576597837,0.98
0.0,0.0,0.1,0.1,0.922,0.1505211764322556,0.92
0.0,0.0,0.2,0.2,0.904,0.1866209463277366,0.92
0.0,0.0,0.3,0.3,0.888,0.162041812333454,1.068
0.0,0.0,0.4,0.4,0.882,0.19704637367103803,1.08
0.0,0.0,0.5,0.5,0.87,0.20560616437111928,1.128
0.0,0.0,0.6,0.6,0.87,0.22258739965315766,1.096
0.0,0.0,0.7,0.7,0.88,0.22439149621718685,1.136
0.0,0.0,0.8,0.8,0.836,0.23341858704293778,1.268
0.0,0.0,0.9,0.9,0.852,0.2731950290441568,1.356
0.1,0.1,0.0,0.0,0.916,0.14963914956785324,0.936
0.1,0.1,0.1,0.1,0.904,0.17526045406277083,0.948
0.1,0.1,0.2,0.2,0.906,0.1805069102534905,0.936
0.1,0.1,0.3,0.3,0.902,0.1815739719812697,1.044
0.1,0.1,0.4,0.4,0.882,0.18754144513992704,1.116
0.1,0.1,0.5,0.5,0.892,0.2158443507419569,1.06
0.1,0.1,0.6,0.6,0.892,0.19849588006071978,1.028
0.1,0.1,0.7,0.7,0.866,0.21496898844614057,1.156
0.1,0.1,0.8,0.8,0.86,0.22691675744612264,1.232
0.1,0.1,0.9,0.9,0.886,0.22413003019042738,1.156
0.2,0.2,0.0,0.0,0.912,0.1644317527948223,0.996
0.2,0.2,0.1,0.1,0.894,0.16866248158581354,1.048
0.2,0.2,0.2,0.2,0.908,0.17889236027750918,0.96
0.2,0.2,0.3,0.3,0.896,0.17623951127984433,0.94
0.2,0.2,0.4,0.4,0.884,0.17043718878970418,0.976
0.2,0.2,0.5,0.5,0.906,0.1797069876752711,1.044
0.2,0.2,0.6,0.6,0.888,0.19223800287380055,0.992
0.2,0.2,0.7,0.7,0.886,0.19277313690794212,1.048
0.2,0.2,0.8,0.8,0.87,0.20598702518467937,0.952
0.2,0.2,0.9,0.9,0.83,0.25450960875356804,1.364
0.3,0.3,0.0,0.0,0.918,0.1582862163541264,1.052
0.3,0.3,0.1,0.1,0.906,0.16985083286702254,1.0
0.3,0.3,0.2,0.2,0.906,0.16668208010646543,1.004
0.3,0.3,0.3,0.3,0.9,0.1717260246869665,0.964
0.3,0.3,0.4,0.4,0.938,0.15588471405348947,0.94
0.3,0.3,0.5,0.5,0.914,0.19397461303625332,1.044
0.3,0.3,0.6,0.6,0.884,0.18090788717051995,0.972
0.3,0.3,0.7,0.7,0.884,0.1968918485371252,0.996
0.3,0.3,0.8,0.8,0.848,0.2087833231095779,1.212
0.3,0.3,0.9,0.9,0.886,0.18357053110246901,1.148
0.4,0.4,0.0,0.0,0.924,0.1524628218656828,0.972
0.4,0.4,0.1,0.1,0.908,0.15593525351991197,0.988
0.4,0.4,0.2,0.2,0.898,0.16922381740955372,1.116
0.4,0.4,0.3,0.3,0.916,0.16293002604329007,1.028
0.4,0.4,0.4,0.4,0.922,0.1661265187525248,1.048
0.4,0.4,0.5,0.5,0.914,0.16492282804493105,0.952
0.4,0.4,0.6,0.6,0.876,0.17928725371768503,1.18
0.4,0.4,0.7,0.7,0.87,0.18901745788003044,1.076
0.4,0.4,0.8,0.8,0.878,0.18525925802064067,1.092
0.4,0.4,0.9,0.9,0.902,0.19450181036810804,1.084
