$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.0,0.0,0.0,0.0,0.802
0.0,0.0,0.1,0.1,0.82
0.0,0.0,0.2,0.2,0.818
0.0,0.0,0.3,0.3,0.816
0.0,0.0,0.4,0.4,0.82
0.0,0.0,0.5,0.5,0.838
0.0,0.0,0.6,0.6,0.796
0.0,0.0,0.7,0.7,0.81
0.0,0.0,0.8,0.8,0.8
0.0,0.0,0.9,0.9,0.814
0.0,0.0,1.0,1.0,0.8
0.0,0.0,1.1,1.1,0.812
0.0,0.0,1.2,1.2,0.834
0.0,0.0,1.3,1.3,0.786
0.0,0.0,1.4,1.4,0.838
0.0,0.0,1.5,1.5,0.834
0.0,0.0,1.6,1.6,0.808
0.0,0.0,1.7,1.7,0.844
0.0,0.0,1.8,1.8,0.834
0.0,0.0,1.9,1.9,0.816
0.0,0.0,2.0,2.0,0.818
0.0,0.0,2.1,2.1,0.796
0.0,0.0,2.2,2.2,0.804
0.0,0.0,2.3,2.3,0.838
0.0,0.0,2.4,2.4,0.818
0.0,0.0,2.5,2.5,0.834
0.0,0.0,2.6,2.6,0.81
0.0,0.0,2.7,2.7,0.818
0.0,0.0,2.8,2.8,0.81
0.0,0.0,2.9,2.9,0.796
0.0,0.0,3.0,3.0,0.8
0.0,0.0,3.1,3.1,0.812
0.0,0.0,3.2,3.2,0.826
0.0,0.0,3.3,3.3,0.82
0.0,0.0,3.4,3.4,0.8
0.0,0.0,3.5,3.5,0.816
0.0,0.0,3.6,3.6,0.83
0.0,0.0,3.7,3.7,0.858
0.0,0.0,3.8,3.8,0.822
0.0,0.0,3.9,3.9,0.802
0.0,0.0,4.0,4.0,0.808
0.0,0.0,4.1,4.1,0.8
0.0,0.0,4.2,4.2,0.786
0.0,0.0,4.3,4.3,0.796
0.0,0.0,4.4,4.4,0.812
0.0,0.0,4.5,4.5,0.78
0.0,0.0,4.6,4.6,0.8
0.0,0.0,4.7,4.7,0.786
0.0,0.0,4.8,4.8,0.786
0.0,0.0,4.9,4.9,0.82
0.0,0.0,5.0,5.0,0.796
0.0,0.0,5.1,5.1,0.764
0.0,0.0,5.2,5.2,0.808
0.0,0.0,5.3,5.3,0.81
0.0,0.0,5.4,5.4,0.784
0.0,0.0,5.5,5.5,0.768
0.0,0.0,5.6,5.6,0.802
0.0,0.0,5.7,5.7,0.772
0.0,0.0,5.8,5.8,0.81
0.0,0.0,5.9,5.9,0.782
0.0,0.0,6.0,6.0,0.778
0.0,0.0,6.1,6.1,0.782
0.0,0.0,6.2,6.2,0.786
0.0,0.0,6.3,6.3,0.788
0.0,0.0,6.4,6.4,0.792
0.0,0.0,6.5,6.5,0.796
0.0,0.0,6.6,6.6,0.756
0.0,0.0,6.7,6.7,0.76
0.0,0.0,6.8,6.8,0.726
0.0,0.0,6.9,6.9,0.752
0.0,0.0,7.0,7.0,0.726
0.0,0.0,7.1,7.1,0.756
0.0,0.0,7.2,7.2,0.78
0.0,0.0,7.3,7.3,0.748
0.0,0.0,7.4,7.4,0.766
0.0,0.0,7.5,7.5,0.744
0.0,0.0,7.6,7.6,0.77
0.0,0.0,7.7,7.7,0.724
0.0,0.0,7.8,7.8,0.754
0.0,0.0,7.9,7.9,0.752
0.0,0.0,8.0,8.0,0.762
0.0,0.0,8.1,8.1,0.756
0.0,0.0,8.2,8.2,0.714
0.0,0.0,8.3,8.3,0.764
0.0,0.0,8.4,8.4,0.722
0.0,0.0,8.5,8.5,0.712
0.0,0.0,8.6,8.6,0.736
0.0,0.0,8.7,8.7,0.754
0.0,0.0,8.8,8.8,0.744
0.0,0.0,8.9,8.9,0.716
0.0,0.0,9.0,9.0,0.736
0.0,0.0,9.1,9.1,0.74
0.0,0.0,9.2,9.2,0.738
0.0,0.0,9.3,9.3,0.706
0.0,0.0,9.4,9.4,0.728
0.0,0.0,9.5,9.5,0.696
0.0,0.0,9.6,9.6,0.71
0.0,0.0,9.7,9.7,0.712
0.0,0.0,9.8,9.8,0.678
0.0,0.0,9.9,9.9,0.676
0.0,0.0,10.0,10.0,0.69
0.0,0.0,10.1,10.1,0.726
0.0,0.0,10.2,10.2,0.678
0.0,0.0,10.3,10.3,0.66
0.0,0.0,10.4,10.4,0.64
0.0,0.0,10.5,10.5,0.696
0.0,0.0,10.6,10.6,0.69
0.0,0.0,10.7,10.7,0.662
0.0,0.0,10.8,10.8,0.664
0.0,0.0,10.9,10.9,0.638
0.0,0.0,11.0,11.0,0.662
0.0,0.0,11.1,11.1,0.668
0.0,0.0,11.2,11.2,0.65
0.0,0.0,11.3,11.3,0.67
0.0,0.0,11.4,11.4,0.67
0.0,0.0,11.5,11.5,0.68
0.0,0.0,11.6,11.6,0.672
0.0,0.0,11.7,11.7,0.672
0.0,0.0,11.8,11.8,0.654
0.0,0.0,11.9,11.9,0.662
0.0,0.0,12.0,12.0,0.668
0.0,0.0,12.1,12.1,0.61
0.0,0.0,12.2,12.2,0.62
0.0,0.0,12.3,12.3,0.612
0.0,0.0,12.4,12.4,0.632
0.0,0.0,12.5,12.5,0.604
0.0,0.0,12.6,12.6,0.638
0.0,0.0,12.7,12.7,0.606
0.0,0.0,12.8,12.8,0.59
0.0,0.0,12.9,12.9,0.614
0.0,0.0,13.0,13.0,0.582
