$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.0,0.0,0.0,0.0,0.538
0.0,0.0,0.1,0.1,0.58
0.0,0.0,0.2,0.2,0.578
0.0,0.0,0.3,0.3,0.606
0.0,0.0,0.4,0.4,0.544
0.0,0.0,0.5,0.5,0.558
0.0,0.0,0.6,0.6,0.554
0.0,0.0,0.7,0.7,0.574
0.0,0.0,0.8,0.8,0.584
0.0,0.0,0.9,0.9,0.54
0.0,0.0,1.0,1.0,0.53
0.0,0.0,1.1,1.1,0.562
0.0,0.0,1.2,1.2,0.576
0.0,0.0,1.3,1.3,0.544
0.0,0.0,1.4,1.4,0.536
0.0,0.0,1.5,1.5,0.564
0.0,0.0,1.6,1.6,0.544
0.0,0.0,1.7,1.7,0.544
0.0,0.0,1.8,1.8,0.55
0.0,0.0,1.9,1.9,0.566
0.0,0.0,2.0,2.0,0.528
0.0,0.0,2.1,2.1,0.568
0.0,0.0,2.2,2.2,0.528
0.0,0.0,2.3,2.3,0.544
0.0,0.0,2.4,2.4,0.506
0.0,0.0,2.5,2.5,0.504
0.0,0.0,2.6,2.6,0.536
0.0,0.0,2.7,2.7,0.546
0.0,0.0,2.8,2.8,0.558
0.0,0.0,2.9,2.9,0.52
0.0,0.0,3.0,3.0,0.548
0.0,0.0,3.1,3.1,0.534
0.0,0.0,3.2,3.2,0.536
0.0,0.0,3.3,3.3,0.534
0.0,0.0,3.4,3.4,0.532
0.0,0.0,3.5,3.5,0.518
0.0,0.0,3.6,3.6,0.536
0.0,0.0,3.7,3.7,0.52
0.0,0.0,3.8,3.8,0.566
0.0,0.0,3.9,3.9,0.506
0.0,0.0,4.0,4.0,0.48
0.0,0.0,4.1,4.1,0.502
0.0,0.0,4.2,4.2,0.492
0.0,0.0,4.3,4.3,0.484
0.0,0.0,4.4,4.4,0.516
0.0,0.0,4.5,4.5,0.49
0.0,0.0,4.6,4.6,0.45
0.0,0.0,4.7,4.7,0.512
0.0,0.0,4.8,4.8,0.508
0.0,0.0,4.9,4.9,0.488
0.0,0.0,5.0,5.0,0.494
0.0,0.0,5.1,5.1,0.484
0.0,0.0,5.2,5.2,0.472
