$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,No_units
3,5.924,0,5.708,4495,0
4,7.719,3,7.522,1430,0
2,8.918,0,7.377,10712,0
0,9.163,1,7.136,5285,0
0,7.6,2,6.919,5633,0
0,7.7,1,7.655,17892,0
4,7.372,4,7.372,2674,0
1,7.657,4,7.515,5111,0
0,8.455,4,7.866,8368,0
1,8.224,4,7.909,3611,0
0,8.978,1,6.83,4962,0
4,8.147,4,8.147,6591,0
1,7.49,1,7.49,10258,0
0,7.816,2,6.7,4532,0
3,8.991,3,8.991,1302,0
1,8.376,3,7.307,3375,0
1,6.926,0,6.523,5629,0
1,7.249,0,6.772,13486,0
3,7.824,4,6.659,2735,0
0,9.289,3,6.427,2722,0
3,7.244,3,7.244,3143,0
2,7.342,3,7.336,11755,0
2,8.885,4,8.132,2226,0
4,8.547,4,8.547,2661,0
3,8.117,0,7.512,23634,0
4,7.782,1,7.653,2936,0
3,9.747,3,9.747,2062,0
2,7.592,2,7.592,9502,0
0,8.391,4,7.669,9400,0
2,8.124,0,7.786,6012,0
3,8.328,0,7.584,7788,0
0,9.312,2,8.081,3427,0
2,8.605,2,8.605,6438,0
3,8.007,4,7.991,12699,0
3,8.194,1,7.794,11397,0
0,7.958,4,6.627,4153,0
0,9.33,0,9.33,1334,0
0,8.755,0,8.755,4155,0
2,8.701,2,8.701,18926,0
3,9.076,3,9.076,6465,0
2,7.767,3,7.522,6075,0
2,8.267,1,7.144,13332,0
0,7.549,1,6.665,5031,0
2,8.932,0,7.599,4872,0
0,8.699,0,8.699,6455,0
3,7.775,0,6.535,7661,0
0,8.182,4,7.315,5051,0
2,7.219,2,7.219,5751,0
4,7.874,2,7.765,3944,0
0,7.949,0,7.949,3203,0
1,9.134,0,8.466,2490,0
0,9.926,3,8.71,2023,0
1,8.731,4,8.707,6321,0
2,9.051,1,7.83,6891,0
0,8.266,2,7.645,1979,0
2,8.397,2,8.397,1947,0
4,7.993,4,7.993,23631,0
2,8.24,2,8.24,1816,0
1,7.203,1,7.203,1916,0
2,7.924,2,7.924,4493,0
0,8.586,0,8.586,1635,0
3,7.055,0,6.232,3201,0
1,8.322,1,8.322,3904,0
0,8.083,0,8.083,2716,0
4,7.541,4,7.541,4068,0
2,6.756,2,6.756,2289,0
4,8.843,3,7.274,11386,0
1,8.589,1,8.589,1141,0
3,7.933,3,7.933,1075,0
3,7.404,3,7.404,1564,0
0,7.839,0,7.839,9011,0
1,7.74,4,7.149,5860,0
2,8.24,2,8.24,3365,0
1,8.491,2,8.308,5119,0
4,8.958,4,8.958,2558,0
3,7.772,0,7.495,3157,0
1,9.051,4,8.017,2451,0
3,9.022,0,8.375,18932,0
2,7.951,0,6.81,6349,0
0,8.103,2,7.618,6534,0
3,8.381,2,7.845,8060,0
0,7.498,1,7.227,8435,0
3,8.38,2,8.214,3572,0
1,7.38,1,7.38,4911,0
4,7.496,4,7.496,5179,0
0,8.571,3,6.503,13045,0
4,10.812,0,6.296,4588,0
4,9.213,3,7.648,1953,0
3,7.77,0,7.348,9854,0
2,8.227,1,6.846,7788,0
0,7.626,3,7.388,4324,0
