$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
12.6,2,7.878,1,7.456,2780
12.6,0,8.294,2,8.166,5983
12.6,4,7.768,1,7.452,8971
12.6,1,7.853,0,7.635,6149
12.6,2,7.361,0,5.948,7461
12.6,2,9.323,2,9.323,11679
12.6,0,7.654,4,5.721,6269
12.6,0,7.487,4,6.929,10225
12.6,1,8.664,1,8.664,2595
12.6,1,8.3,1,8.3,7258
12.6,2,8.154,0,6.399,3049
12.6,3,7.192,3,7.192,9336
12.6,1,7.858,1,7.858,1600
12.6,4,7.298,4,7.298,5563
12.6,3,8.568,0,7.32,3873
12.6,0,9.356,0,9.356,12369
12.6,3,7.623,3,7.623,3965
12.6,0,7.435,4,7.249,7967
12.6,1,9.371,4,7.004,5496
12.6,3,8.273,3,8.273,17431
12.6,2,8.004,2,8.004,5989
12.6,1,7.821,1,7.821,2821
12.6,2,6.733,2,6.733,19091
12.6,4,7.501,4,7.501,3329
12.6,0,8.031,4,6.775,8623
12.6,3,7.077,1,6.353,9308
12.6,1,6.992,4,6.518,8040
12.6,0,9.628,4,8.516,12323
12.6,1,8.168,3,7.531,4406
12.6,1,7.635,0,7.474,5272
12.6,1,7.878,0,7.162,2561
12.6,2,7.849,2,7.849,8149
12.6,0,7.64,0,7.64,3348
12.6,2,9.152,3,7.268,4167
12.6,4,8.448,4,8.448,2061
12.6,0,8.772,0,8.772,6240
12.6,2,7.327,2,7.327,5873
12.6,1,8.201,1,8.201,13343
12.6,1,8.146,0,8.131,10050
12.6,3,8.619,4,8.052,5492
12.6,0,9.158,0,9.158,2572
12.6,4,8.149,1,7.991,7179
12.6,2,7.567,0,6.485,3535
12.6,2,7.725,3,7.349,8636
12.6,2,8.805,1,7.659,3401
12.6,2,8.192,0,7.36,9115
12.6,4,7.942,4,7.942,5901
12.6,4,8.117,4,8.117,16564
12.6,1,7.846,1,7.846,6314
12.6,2,8.212,1,7.751,4893
12.6,1,6.926,4,6.644,8981
12.6,1,8.99,1,8.99,2684
12.6,1,8.847,0,7.286,4912
12.6,1,8.01,3,7.245,2429
12.6,3,7.454,4,6.841,5251
12.6,3,9.513,3,9.513,3973
12.6,0,9.236,0,9.236,6670
12.6,0,8.695,4,7.918,6101
12.6,1,7.965,1,7.965,6664
12.6,0,7.695,2,7.389,2881
12.6,3,8.13,4,7.833,7651
12.6,2,7.596,4,7.204,9273
12.6,1,7.436,1,7.436,8826
12.6,0,7.611,0,7.611,3522
12.6,3,8.12,3,8.12,6749
12.6,3,8.217,3,8.217,2739
12.6,2,8.237,2,8.237,7594
12.6,1,6.852,3,6.693,4120
12.6,1,8.575,2,8.207,4125
12.6,0,7.961,0,7.961,4591
12.6,1,8.043,0,7.051,5381
12.6,4,8.245,1,7.364,9040
12.6,2,7.983,2,7.983,7990
12.6,1,8.402,1,8.402,8732
12.6,2,8.107,2,8.107,14236
12.6,3,8.464,3,8.464,1201
12.6,0,9.12,0,9.12,3714
12.6,4,8.412,3,7.631,5525
12.6,0,8.031,0,8.031,6165
12.6,2,7.447,3,7.314,2207
12.6,2,7.604,4,7.553,9502
12.6,4,7.625,1,5.409,6269
12.6,1,8.877,2,8.714,2596
12.6,1,10.206,0,8.193,5367
12.6,4,7.706,4,7.706,6673
12.6,2,7.669,0,7.549,1984
12.6,4,9.543,4,9.543,2207
12.6,1,7.58,1,7.58,4924
12.6,3,7.946,3,7.946,3301
12.6,1,8.451,1,8.451,3119
12.6,0,8.376,0,8.376,4104
12.6,2,7.956,1,7.42,3702
12.6,3,7.869,0,7.379,1103
12.6,0,8.309,2,6.764,6644
12.6,4,7.616,4,7.616,4830
12.6,0,8.522,3,7.778,5376
12.6,1,7.528,4,7.106,8587
12.6,1,6.748,3,6.353,2156
12.6,2,7.621,2,7.621,5701
12.6,2,7.55,0,7.475,2261
