n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_{pred}}$,$\sigma_{h_{pred}}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,no:yes,after_replication_no:yes
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.898,0,7.403,2578,0.3043445179943696,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.741,1,7.741,3363,2.8708751330602236,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,9.544,2,7.997,22769,0.13207422571485175,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.1,1,8.1,4883,0.7646946368435757,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,8.593,1,7.558,6690,0.818169421675429,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.852,0,7.852,18446,1.399972000559989,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.86,0,7.86,2398,1.8570986405085594,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.249,0,7.249,447,6.499593775389037,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,6.568,1,6.568,18324,28.992751812046986,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.24,0,7.879,2654,0.9047475436897827,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.462,0,6.69,16308,0.7142755103498521,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.48,0,8.48,2128,2.3332685203188803,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,6.907,0,6.907,426,9.908190164530497,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.923,1,7.923,407,2.999900003333222,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,6.809,2,6.809,7867,28.992751812046986,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,6.682,0,6.656,4360,12.331963115209422,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,8.797,2,8.797,9890,0.9671972590613269,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,6.398,0,6.398,411,118.8811188811189,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,7.178,2,7.178,2377,12.331963115209422,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,8.097,1,8.097,18185,1.1052437676531992,
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,1,8.814,1,8.814,1999,0.9354687827615684,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,0,9.514,0,9.514,1635,0.818169421675429,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,2,6.946,2,6.946,539,12.331963115209422,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,0,8.113,2,7.603,4003,1.6666296304526567,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,0,8.524,2,7.986,3642,1.222199588896502,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,1,8.006,2,7.522,11108,1.1428367350583026,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,2,7.775,2,7.775,573,3.7998480060797566,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,1,9.304,1,9.304,2210,2.2431826166860356,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,2,8.305,2,8.305,424,2.749914065185463,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,0,7.161,0,7.161,11856,8.999250062494793,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,0,7.602,0,7.602,22302,2.2431826166860356,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,2,7.465,1,6.767,6746,2.749914065185463,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,0,7.776,0,7.776,3717,1.3529146487323778,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,1,8.06,1,8.06,302,3.2855969429663223,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,2,7.531,2,7.531,377,4.999750012499375,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,0,9.009,2,8.218,15039,0.7142755103498521,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,1,8.731,1,8.731,9687,0.6216132214429534,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,2,8.277,2,8.277,428,2.0768698238506706,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,1,6.978,1,6.978,520,12.331963115209422,2.4285714285714284
3,40,0,7.570799999998902,0.6789800056229955,7.7414166666666695,0.7614261782536585,0,7.912,0,7.912,5048,1.1052437676531992,2.4285714285714284
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,1,6.884,1,6.884,19460,8.999250062494793,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,0,7.245,0,7.245,427,5.666351869340592,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,0,7.747,0,7.747,573,2.157837951632852,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,0,7.598,0,7.598,8213,2.2431826166860356,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,0,8.082,0,8.082,3605,0.9047475436897827,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,0,6.861,0,6.861,22302,10.998900109989002,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,0,7.865,0,7.865,2960,1.7906560312550872,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,0,8.652,0,8.652,4401,0.5384546351969847,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,0,8.039,0,8.039,14314,0.7646946368435757,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,0,8.102,0,8.102,904,1.0689470871191877,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,0,8.859,0,8.859,567,1.0689470871191877,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,0,8.89,0,8.89,9508,0.4285663265913501,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,1,6.557,1,6.557,411,58.97051474262869,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,1,6.504,1,6.504,464,58.97051474262869,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,1,7.079,1,7.079,1704,6.499593775389037,0.8181818181818182
2,60,0,7.1,0.6557359594276456,7.682733333333337,0.7734131027148303,0,7.713,0,7.713,3095,1.1428367350583026,0.8181818181818182
