n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_{pred}}$,$\sigma_{h_{pred}}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations,no:yes,after_replication_no:yes
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,8.909,2,8.909,19841,0.3333333333333333,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,6.967,1,6.967,583,23.0,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.441,0,8.441,9388,1.1428571428571428,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.805,1,7.736,6886,1.2641509433962264,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.026,1,7.026,2811,19.0,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.129,2,7.978,2831,0.875,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.732,1,7.732,9283,2.870967741935484,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,7.01,0,7.01,399,16.142857142857142,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,7.657,2,7.657,359,5.666666666666667,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,6.982,0,6.982,2452,14.0,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.254,0,6.451,12628,6.0588235294117645,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,6.961,2,6.961,530,11.0,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.423,2,7.009,7526,4.217391304347826,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,10.074,0,10.074,318,2.0,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,6.647,1,6.647,366,23.0,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,1,7.013,1,7.013,1587,9.909090909090908,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.499,0,8.499,441,2.2432432432432434,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,8.14,1,7.584,14837,0.7391304347826086,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,2,8.388,2,8.388,406,2.6363636363636362,
3,40,0,7.570799999998902,0.6789800056229955,7.570799999998902,0.6789800056229955,0,8.354,2,8.351,9101,0.7910447761194029,
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,2,9.07,2,9.07,7974,1.5,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,2,9.702,1,6.742,9264,2.0,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,1,8.457,3,6.979,8586,3.0,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,2,8.529,1,6.854,7685,2.076923076923077,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,3,8.664,0,8.303,26198,0.5789473684210527,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,0,8.465,0,8.465,5353,2.2432432432432434,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,0,9.289,1,6.954,7672,2.2432432432432434,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,2,7.792,2,7.792,1836,3.4444444444444446,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,1,9.053,3,8.842,14994,0.34831460674157305,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,0,8.149,0,8.149,617,4.454545454545454,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,0,7.804,0,7.804,5224,3.6153846153846154,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,3,8.141,3,8.141,1285,6.5,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,2,7.918,3,6.322,3366,6.0588235294117645,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,2,7.749,2,7.749,4406,5.315789473684211,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,1,8.581,1,8.581,2698,3.2857142857142856,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,1,7.765,0,7.602,6397,1.6666666666666667,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,2,8.756,2,8.756,428,3.6153846153846154,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,2,6.374,0,5.841,6671,59.0,4.217391304347826
4,30,0,7.8384999999982785,0.6954719188552911,7.874123829353896,0.7474919710220745,1,8.417,1,8.417,12171,1.608695652173913,4.217391304347826
