n,$\mu_{m_1}$,$\sigma_{m_1}$,$\mu_{h_1}$,$\sigma_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
3,40,0,7.570799999998902,0.6789800056229955,0,9.828,1,7.122,12945
3,40,0,7.570799999998902,0.6789800056229955,2,8.779,1,8.352,11810
3,40,0,7.570799999998902,0.6789800056229955,1,7.033,2,6.88,7801
3,40,0,7.570799999998902,0.6789800056229955,1,8.526,1,8.526,6841
3,40,0,7.570799999998902,0.6789800056229955,1,9.334,1,9.334,2732
3,40,0,7.570799999998902,0.6789800056229955,1,7.432,2,7.375,14698
3,40,0,7.570799999998902,0.6789800056229955,2,7.65,2,7.65,13339
3,40,0,7.570799999998902,0.6789800056229955,2,8.482,2,8.482,7660
3,40,0,7.570799999998902,0.6789800056229955,1,7.788,1,7.788,3732
3,40,0,7.570799999998902,0.6789800056229955,1,9.109,1,9.109,6598
3,40,0,7.570799999998902,0.6789800056229955,2,8.614,0,7.681,4520
3,40,0,7.570799999998902,0.6789800056229955,1,7.561,1,7.561,527
3,40,0,7.570799999998902,0.6789800056229955,0,8.2,0,8.2,5467
3,40,0,7.570799999998902,0.6789800056229955,2,9.002,1,7.157,6007
3,40,0,7.570799999998902,0.6789800056229955,0,9.497,1,8.729,9765
3,40,0,7.570799999998902,0.6789800056229955,2,7.738,2,7.738,2787
3,40,0,7.570799999998902,0.6789800056229955,2,7.046,2,7.046,2394
3,40,0,7.570799999998902,0.6789800056229955,1,9.032,0,7.699,11339
3,40,0,7.570799999998902,0.6789800056229955,0,8.145,1,8.066,5678
3,40,0,7.570799999998902,0.6789800056229955,1,6.78,2,6.653,4854
5,24,0,7.573141666666666,0.692152279546367,4,8.391,2,8.087,3155
5,24,0,7.573141666666666,0.692152279546367,3,9.857,3,9.857,11721
5,24,0,7.573141666666666,0.692152279546367,0,10.493,0,10.493,3289
5,24,0,7.573141666666666,0.692152279546367,1,8.341,2,7.006,12659
5,24,0,7.573141666666666,0.692152279546367,1,7.532,2,6.688,17698
5,24,0,7.573141666666666,0.692152279546367,4,8.572,4,8.572,10124
5,24,0,7.573141666666666,0.692152279546367,3,8.557,3,8.557,1774
5,24,0,7.573141666666666,0.692152279546367,1,9.6,1,9.6,489
5,24,0,7.573141666666666,0.692152279546367,1,8.211,2,7.637,6486
5,24,0,7.573141666666666,0.692152279546367,2,8.501,4,7.705,10547
5,24,0,7.573141666666666,0.692152279546367,0,8.337,4,7.071,22506
5,24,0,7.573141666666666,0.692152279546367,0,8.478,0,8.478,5563
5,24,0,7.573141666666666,0.692152279546367,2,8.722,4,8.04,6080
5,24,0,7.573141666666666,0.692152279546367,4,7.447,2,7.087,5467
5,24,0,7.573141666666666,0.692152279546367,4,7.374,4,7.374,8544
5,24,0,7.573141666666666,0.692152279546367,1,9.638,0,7.604,16404
5,24,0,7.573141666666666,0.692152279546367,1,8.661,1,8.661,3912
5,24,0,7.573141666666666,0.692152279546367,3,8.821,3,8.821,3122
5,24,0,7.573141666666666,0.692152279546367,2,9.176,3,8.004,4327
5,24,0,7.573141666666666,0.692152279546367,1,7.632,2,7.458,17788
3,40,0,7.1045,0.7905673529154857,0,7.624,1,7.595,2912
3,40,0,7.1045,0.7905673529154857,1,9.079,1,9.079,2875
3,40,0,7.1045,0.7905673529154857,2,7.418,2,7.418,9486
3,40,0,7.1045,0.7905673529154857,1,8.024,2,6.374,12933
3,40,0,7.1045,0.7905673529154857,1,8.881,2,8.135,5675
