$\mu_{h_1}$,$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
8.4,1,6.965,1,6.965,2290
8.4,1,8.166,1,8.166,378
8.4,0,,,,0
8.4,0,8.263,0,8.263,344
8.4,0,7.062,0,7.062,375
8.4,1,,,,0
8.4,1,6.723,1,6.723,425
8.4,0,7.181,0,7.181,8122
8.4,0,6.936,0,6.936,293
8.4,1,7.325,0,7.316,526
8.4,1,7.654,1,7.654,2207
8.4,1,,,,0
8.4,0,7.554,0,7.554,349
8.4,1,9.336,1,9.336,333
8.4,1,8.065,1,8.065,398
8.4,1,6.769,1,6.769,512
8.4,0,7.665,0,7.665,20223
8.4,1,9.662,1,9.662,319
8.4,1,7.894,1,7.894,263
8.4,1,7.101,0,6.794,902
8.4,1,9.568,1,9.568,9700
8.4,1,6.279,1,6.279,310
8.4,1,6.178,1,6.178,376
8.4,1,6.245,0,6.19,343
8.4,1,7.452,1,7.452,357
8.4,1,6.554,1,6.554,303
8.4,1,6.143,1,6.143,334
8.4,1,7.938,1,7.938,2991
8.4,0,7.896,0,7.896,291
8.4,1,6.981,1,6.981,294
8.4,0,6.411,0,6.411,3841
8.4,0,6.744,0,6.744,396
8.4,0,8.853,0,8.853,388
8.4,1,8.182,0,7.099,3807
8.4,0,7.323,1,6.887,6615
8.4,0,7.061,0,7.061,2559
8.4,0,7.075,0,7.075,284
8.4,1,8.657,1,8.657,4816
8.4,1,6.214,1,6.214,313
8.4,1,6.792,0,6.703,17345
8.4,1,7.265,1,7.265,484
8.4,1,8.482,1,8.482,1219
8.4,0,7.955,0,7.955,818
8.4,1,7.912,1,7.912,325
8.4,1,7.191,0,6.907,2853
8.4,0,7.726,0,7.726,384
8.4,0,,,,0
8.4,1,,,,0
8.4,0,7.16,1,6.139,5056
8.4,0,6.407,0,6.407,327
8.4,1,7.901,0,6.951,805
8.4,1,7.834,1,7.834,1940
8.4,1,8.431,1,8.431,333
8.4,0,8.151,0,8.151,5262
8.4,0,7.783,0,7.783,397
8.4,0,9.269,0,9.269,242
8.4,1,9.209,1,9.209,795
8.4,1,6.45,0,6.216,323
8.4,1,8.881,1,8.881,502
8.4,1,6.317,1,6.317,370
8.4,1,6.606,0,5.854,1843
8.4,0,7.263,0,7.263,306
8.4,0,8.976,0,8.976,6088
8.4,0,8.033,1,7.597,7882
8.4,1,7.608,1,7.608,373
8.4,1,8.453,1,8.453,2652
8.4,1,6.533,1,6.533,320
8.4,0,8.783,0,8.783,1778
8.4,0,7.42,0,7.42,355
8.4,0,6.717,0,6.717,406
8.4,1,8.168,0,7.814,6042
8.4,1,7.182,1,7.182,370
8.4,1,6.325,0,6.295,10812
8.4,0,7.43,1,6.896,4322
8.4,0,7.959,0,7.959,305
8.4,1,7.403,1,7.403,307
8.4,1,7.447,1,7.447,331
8.4,1,7.052,1,7.052,5915
8.4,0,6.547,0,6.547,1696
8.4,0,8.26,0,8.26,315
8.4,0,7.746,0,7.746,308
8.4,1,8.392,1,8.392,4881
8.4,0,7.219,0,7.219,413
8.4,0,8.782,0,8.782,408
8.4,1,7.109,1,7.109,458
8.4,0,8.516,0,8.516,939
8.4,0,7.147,0,7.147,3500
8.4,1,6.932,1,6.932,298
8.4,1,7.302,1,7.302,383
8.4,1,9.038,1,9.038,527
8.4,0,9.126,0,9.126,2469
8.4,0,7.719,0,7.719,6006
8.4,0,7.861,0,7.861,3560
8.4,0,7.017,0,7.017,354
8.4,1,7.886,1,7.886,2321
8.4,1,7.863,1,7.863,4496
8.4,1,8.217,1,8.217,3243
8.4,0,7.923,0,7.923,297
8.4,0,8.256,0,8.256,887
8.4,1,7.492,0,7.267,3351
