$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.0,0.0,0.0,0.0,0.918,,
0.0,0.0,0.1,0.1,0.906,,
0.0,0.0,0.2,0.2,0.894,,
0.0,0.0,0.3,0.3,0.898,,
0.0,0.0,0.4,0.4,0.888,,
0.0,0.0,0.5,0.5,0.892,,
0.0,0.0,0.6,0.6,0.9,,
0.0,0.0,0.7,0.7,0.864,,
0.0,0.0,0.8,0.8,0.862,,
0.0,0.0,0.9,0.9,0.878,,
0.0,0.0,1.0,1.0,0.852,,
0.0,0.0,1.1,1.1,0.836,,
0.0,0.0,1.2,1.2,0.81,,
0.0,0.0,1.3,1.3,0.8,,
0.0,0.0,1.4,1.4,0.782,,
0.0,0.0,1.5,1.5,0.7,,
0.0,0.0,1.6,1.6,0.736,,
0.0,0.0,1.7,1.7,0.69,,
0.0,0.0,1.8,1.8,0.732,,
0.0,0.0,1.9,1.9,0.62,,
0.0,0.0,2.0,2.0,0.612,,
0.0,0.0,2.1,2.1,0.534,,
0.0,0.0,2.2,2.2,0.576,,
0.0,0.0,2.3,2.3,0.528,,
0.0,0.0,2.4,2.4,0.476,,
0.0,0.0,2.5,2.5,0.388,,
0.0,0.0,2.6,2.6,0.412,,
0.0,0.0,2.7,2.7,0.36,,
0.0,0.0,2.8,2.8,0.39,,
0.0,0.0,2.9,2.9,0.41,,
0.0,0.0,3.0,3.0,0.3,,
0.0,0.0,3.1,3.1,0.326,,
0.0,0.0,3.2,3.2,0.306,,
0.0,0.0,3.3,3.3,0.262,,
0.0,0.0,3.4,3.4,0.272,,
0.0,0.0,3.5,3.5,0.234,,
0.0,0.0,3.6,3.6,0.286,,
0.0,0.0,3.7,3.7,0.214,,
0.0,0.0,3.8,3.8,0.234,,
0.0,0.0,3.9,3.9,0.258,,
0.0,0.0,4.0,4.0,0.216,,
0.0,0.0,4.1,4.1,0.226,,
0.0,0.0,4.2,4.2,0.234,,
0.0,0.0,4.3,4.3,0.228,,
0.0,0.0,4.4,4.4,0.194,,
0.0,0.0,4.5,4.5,0.2,,
0.0,0.0,4.6,4.6,0.22,,
0.0,0.0,4.7,4.7,0.234,,
0.0,0.0,4.8,4.8,0.206,,
0.0,0.0,4.9,4.9,0.19,,
0.0,0.0,5.0,5.0,0.194,,
0.0,0.0,5.1,5.1,0.194,,
0.0,0.0,5.2,5.2,0.206,,
0.0,0.0,5.3,5.3,0.21,,
0.0,0.0,5.4,5.4,0.238,,
0.0,0.0,5.5,5.5,0.218,,
0.0,0.0,5.6,5.6,0.19,,
0.0,0.0,5.7,5.7,0.224,,
0.0,0.0,5.8,5.8,0.214,,
0.0,0.0,5.9,5.9,0.2,,
0.0,0.0,6.0,6.0,0.216,,
0.0,0.0,6.1,6.1,0.196,,
0.0,0.0,6.2,6.2,0.204,,
0.0,0.0,6.3,6.3,0.176,,
0.0,0.0,6.4,6.4,0.21,,
0.0,0.0,6.5,6.5,0.22,,
0.0,0.0,6.6,6.6,0.196,,
0.0,0.0,6.7,6.7,0.196,,
0.0,0.0,6.8,6.8,0.19,,
0.0,0.0,6.9,6.9,0.206,,
0.0,0.0,7.0,7.0,0.238,,
0.0,0.0,7.1,7.1,0.198,,
0.0,0.0,7.2,7.2,0.2,,
0.0,0.0,7.3,7.3,0.192,,
0.0,0.0,7.4,7.4,0.234,,
0.0,0.0,7.5,7.5,0.186,,
0.0,0.0,7.6,7.6,0.192,,
0.0,0.0,7.7,7.7,0.2,,
0.0,0.0,7.8,7.8,0.206,,
0.0,0.0,7.9,7.9,0.188,,
0.0,0.0,8.0,8.0,0.212,,
0.0,0.0,8.1,8.1,0.198,,
0.0,0.0,8.2,8.2,0.19,,
0.0,0.0,8.3,8.3,0.188,,
0.0,0.0,8.4,8.4,0.212,,
0.0,0.0,8.5,8.5,0.202,,
0.0,0.0,8.6,8.6,0.184,,
0.0,0.0,8.7,8.7,0.19,,
0.0,0.0,8.8,8.8,0.194,,
0.0,0.0,8.9,8.9,0.208,,
0.0,0.0,9.0,9.0,0.218,,
0.0,0.0,9.1,9.1,0.178,,
0.0,0.0,9.2,9.2,0.186,,
0.0,0.0,9.3,9.3,0.218,,
0.0,0.0,9.4,9.4,0.198,,
0.0,0.0,9.5,9.5,0.178,,
0.0,0.0,9.6,9.6,0.182,,
0.0,0.0,9.7,9.7,0.198,,
0.0,0.0,9.8,9.8,0.204,,
0.0,0.0,9.9,9.9,0.226,,
0.0,0.0,10.0,10.0,0.24,,
0.0,0.0,10.1,10.1,0.21,,
0.0,0.0,10.2,10.2,0.224,,
0.0,0.0,10.3,10.3,0.21,,
0.0,0.0,10.4,10.4,0.158,,
0.0,0.0,10.5,10.5,0.204,,
0.0,0.0,10.6,10.6,0.158,,
0.0,0.0,10.7,10.7,0.206,,
0.0,0.0,10.8,10.8,0.196,,
0.0,0.0,10.9,10.9,0.194,,
0.0,0.0,11.0,11.0,0.198,,
0.0,0.0,11.1,11.1,0.224,,
0.0,0.0,11.2,11.2,0.176,,
0.0,0.0,11.3,11.3,0.222,,
0.0,0.0,11.4,11.4,0.182,,
0.0,0.0,11.5,11.5,0.232,,
0.0,0.0,11.6,11.6,0.212,,
0.0,0.0,11.7,11.7,0.216,,
0.0,0.0,11.8,11.8,0.19,,
0.0,0.0,11.9,11.9,0.18,,
0.0,0.0,12.0,12.0,0.192,,
0.0,0.0,12.1,12.1,0.204,,
0.0,0.0,12.2,12.2,0.21,,
0.0,0.0,12.3,12.3,0.174,,
