$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS
10,2,0.0,3.0,0.6,0.5591040253639221,0.904
10,5,0.0,3.0,0.8999999999999999,0.6303247213363647,0.788
10,10,0.0,3.0,1.5,0.7933292984962463,0.615
10,20,0.0,3.0,3.0,0.8793196082115173,0.474
10,100,0.0,3.0,24.0,0.9855241179466248,0.186
50,2,0.0,12.0,0.6,0.6129947900772095,0.957
50,5,0.0,12.0,0.8999999999999999,0.7300785779953003,0.9
50,10,0.0,12.0,1.5,0.8387730717658997,0.831
50,20,0.0,12.0,3.0,0.9112069010734558,0.752
50,100,0.0,12.0,24.0,1.1864590644836426,0.55
100,2,0.0,15.0,0.6,0.6395128965377808,0.971
100,5,0.0,15.0,0.8999999999999999,0.7261879444122314,0.934
100,10,0.0,15.0,1.5,0.8453873991966248,0.891
100,20,0.0,15.0,3.0,0.8892683386802673,0.827
100,100,0.0,15.0,24.0,1.1099997758865356,0.669
200,2,0.0,30.0,0.6,0.6575949788093567,0.983
200,5,0.0,30.0,0.8999999999999999,0.7150213122367859,0.956
200,10,0.0,30.0,1.5,0.8338824510574341,0.925
200,20,0.0,30.0,3.0,0.8565534949302673,0.88
200,100,0.0,30.0,24.0,0.9718785881996155,0.757
500,2,0.0,90.0,0.6,0.6329606175422668,0.987
500,5,0.0,90.0,0.8999999999999999,0.7138937711715698,0.971
500,10,0.0,90.0,1.5,0.7776137590408325,0.949
500,20,0.0,90.0,3.0,0.8238007426261902,0.925
500,100,0.0,90.0,24.0,0.4323663115501404,0.835
