$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS
10,2,0.0,3.0,0.6,0.5970807075500488,0.904
10,5,0.0,3.0,0.8999999999999999,0.7058554291725159,0.774
10,10,0.0,3.0,1.5,0.9093631505966187,0.616
10,20,0.0,3.0,3.0,1.0316065549850464,0.468
50,2,0.0,12.0,0.6,0.6532871127128601,0.96
50,5,0.0,12.0,0.8999999999999999,0.7755602598190308,0.9
50,10,0.0,12.0,1.5,0.8766980767250061,0.831
50,20,0.0,12.0,3.0,1.0078917741775513,0.756
100,2,0.0,15.0,0.6,0.6859050989151001,0.972
100,5,0.0,15.0,0.8999999999999999,0.7653106451034546,0.931
100,10,0.0,15.0,1.5,0.8818510174751282,0.884
100,20,0.0,15.0,3.0,0.9614335894584656,0.825
200,2,0.0,30.0,0.6,0.6964965462684631,0.98
200,5,0.0,30.0,0.8999999999999999,0.7851284146308899,0.954
200,10,0.0,30.0,1.5,0.8700871467590332,0.918
200,20,0.0,30.0,3.0,0.9686537981033325,0.883
500,2,0.0,90.0,0.6,0.6771026253700256,0.986
500,5,0.0,90.0,0.8999999999999999,0.7682403326034546,0.973
500,10,0.0,90.0,1.5,0.8770681619644165,0.955
500,20,0.0,90.0,3.0,0.9386080503463745,0.93
