$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS
10,2,0.0,3.0,0.6,0.6739919185638428,0.901
10,5,0.0,3.0,0.8999999999999999,0.7333776950836182,0.752
10,10,0.0,3.0,1.5,0.8761484026908875,0.552
10,20,0.0,3.0,3.0,0.950782835483551,0.346
50,2,0.0,12.0,0.6,0.7491318583488464,0.956
50,5,0.0,12.0,0.8999999999999999,0.7565467357635498,0.878
50,10,0.0,12.0,1.5,0.8814938068389893,0.748
50,20,0.0,12.0,3.0,0.9366017580032349,0.568
100,2,0.0,15.0,0.6,0.7239546179771423,0.971
100,5,0.0,15.0,0.8999999999999999,0.8140320777893066,0.92
100,10,0.0,15.0,1.5,0.8745304346084595,0.828
100,20,0.0,15.0,3.0,0.951234757900238,0.655
200,2,0.0,30.0,0.6,0.7240141034126282,0.977
200,5,0.0,30.0,0.8999999999999999,0.8016379475593567,0.944
200,10,0.0,30.0,1.5,0.9031100869178772,0.865
200,20,0.0,30.0,3.0,0.8769917488098145,0.738
500,2,0.0,90.0,0.6,0.7158421874046326,0.987
500,5,0.0,90.0,0.8999999999999999,0.7895672917366028,0.963
500,10,0.0,90.0,1.5,0.8392106294631958,0.921
500,20,0.0,90.0,3.0,0.9437938928604126,0.821
