nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
2,50,0.916,0.17848088691574035,0.083,0.082
2,70,0.942,0.1149516269636699,0.059,0.058
2,90,0.95,0.10133928266431261,0.052,0.05
2,110,0.96,0.08436272116907788,0.044,0.044
2,130,0.954,0.09093282414667682,0.042,0.042
2,150,0.966,0.06704035282767618,0.036,0.036
2,170,0.956,0.07002831724033573,0.045,0.046
2,190,0.962,0.06698597026812293,0.039,0.038
2,210,0.964,0.06432850134159891,0.038,0.038
2,230,0.978,0.06311852299259918,0.025,0.024
2,250,0.968,0.07032676906022943,0.036,0.034
2,270,0.972,0.058729231240953535,0.027,0.026
2,290,0.966,0.05632995687496893,0.036,0.036
2,310,0.988,0.05316164972116313,0.014,0.014
2,330,0.978,0.06238771215451776,0.023,0.024
2,350,0.98,0.05190376269903965,0.021,0.022
2,370,0.978,0.03336159664426875,0.024,0.024
2,390,0.972,0.06369019474876014,0.031,0.034
2,410,0.988,0.03910113375987256,0.014,0.014
2,430,0.966,0.052214973435266994,0.036,0.038
2,450,0.986,0.03923954729223361,0.016,0.016
2,470,0.98,0.04007448009366585,0.022,0.022
2,490,0.974,0.05523389542962471,0.026,0.028
2,510,0.988,0.030740036837337822,0.014,0.014
2,530,0.986,0.037123357061701244,0.016,0.016
2,550,0.98,0.04313533991772308,0.023,0.022
2,570,0.992,0.04244139165735775,0.01,0.01
2,590,0.978,0.04168908941926564,0.024,0.024
2,610,0.986,0.03245032425907636,0.018,0.016
2,630,0.978,0.050378120378356546,0.023,0.024
2,650,0.988,0.03880628350245181,0.016,0.014
2,670,0.978,0.03686043387841486,0.025,0.024
2,690,0.988,0.02826718584116042,0.015,0.014
2,710,0.972,0.05049460910921343,0.03,0.03
2,730,0.966,0.048195067827665417,0.037,0.036
2,750,0.978,0.04808052340320978,0.023,0.026
2,770,0.988,0.03295571621609271,0.013,0.014
2,790,0.99,0.03760259196311953,0.012,0.012
2,810,0.982,0.025229191723255343,0.02,0.022
2,830,0.978,0.03824202705285364,0.023,0.024
2,850,0.976,0.038885852519753364,0.026,0.026
2,870,0.994,0.028926926842754865,0.008,0.008
2,890,0.978,0.039318674910344104,0.023,0.022
2,910,0.982,0.02988661843115374,0.02,0.02
2,930,0.988,0.02800402600695442,0.015,0.014
2,950,0.984,0.03679561475432091,0.017,0.018
2,970,0.994,0.024490145341826187,0.008,0.008
2,990,0.992,0.018890424662435883,0.01,0.01
2,1010,0.992,0.024425259507594648,0.011,0.01
2,1030,0.994,0.028344959695155592,0.008,0.008
2,1050,0.988,0.02704878201604431,0.015,0.014
2,1070,0.988,0.025429712539440923,0.014,0.014
2,1090,0.984,0.03198019852251281,0.017,0.016
2,1110,0.994,0.025858695570748352,0.008,0.008
2,1130,0.984,0.024274966878405604,0.018,0.018
2,1150,0.986,0.02562377811315971,0.016,0.016
2,1170,0.986,0.03266098591868313,0.016,0.018
2,1190,0.988,0.02603475873051114,0.013,0.012
2,1210,0.988,0.030052749940626327,0.014,0.014
2,1230,0.986,0.02601954304297745,0.016,0.016
2,1250,0.99,0.02895619399707043,0.011,0.012
2,1270,0.99,0.029464780146433795,0.013,0.012
2,1290,0.982,0.0235064711049131,0.02,0.02
2,1310,0.998,0.017726173695006325,0.004,0.004
2,1330,0.994,0.021848692385173278,0.009,0.01
2,1350,0.992,0.02705248024937019,0.011,0.012
2,1370,0.998,0.019569062324157088,0.004,0.004
2,1390,0.996,0.017567969128715177,0.005,0.004
2,1410,0.99,0.029534629168905382,0.012,0.012
2,1430,0.992,0.03080062309419473,0.01,0.01
2,1450,0.992,0.016678048449814582,0.01,0.01
2,1470,0.99,0.027646116266988745,0.012,0.012
2,1490,0.99,0.02215813644253116,0.012,0.012
5,50,0.894,0.2221127203903136,0.615,0.62
5,70,0.904,0.19771444143459257,0.514,0.52
5,90,0.92,0.18105769121534324,0.444,0.438
5,110,0.902,0.17777074730830117,0.435,0.434
5,130,0.922,0.17205144901580335,0.419,0.416
5,150,0.916,0.13710783460833315,0.374,0.376
5,170,0.926,0.1331385859148167,0.345,0.342
5,190,0.938,0.13218300442891978,0.283,0.282
5,210,0.936,0.14802443545766894,0.29,0.286
5,230,0.926,0.10663936020659512,0.29,0.286
5,250,0.952,0.10812122289037515,0.258,0.266
5,270,0.942,0.1113661360794679,0.231,0.226
5,290,0.952,0.09983483167857261,0.249,0.246
5,310,0.95,0.0975850695114635,0.233,0.232
5,330,0.928,0.11419305544947475,0.259,0.26
5,350,0.948,0.09635517705777179,0.236,0.236
5,370,0.946,0.104098292921456,0.25,0.258
5,390,0.956,0.09989320852168414,0.218,0.224
5,410,0.94,0.1001041273861634,0.225,0.226
5,430,0.946,0.08784234465821726,0.202,0.202
5,450,0.956,0.08989966846827936,0.238,0.238
5,470,0.968,0.07342706337988127,0.168,0.17
5,490,0.94,0.09294633834295885,0.247,0.258
5,510,0.95,0.09372714670105668,0.205,0.2
5,530,0.954,0.10073690501186557,0.219,0.218
5,550,0.956,0.08749417718525677,0.178,0.18
5,570,0.966,0.08233416611312766,0.199,0.198
5,590,0.96,0.0934342584338633,0.181,0.184
5,610,0.96,0.08580651794671594,0.2,0.202
5,630,0.96,0.07218981854990969,0.177,0.178
5,650,0.968,0.061688294062444346,0.184,0.188
5,670,0.968,0.07381382345307147,0.156,0.158
5,690,0.966,0.06346973036125461,0.193,0.196
5,710,0.96,0.06803711781841024,0.158,0.158
5,730,0.966,0.06703518922360609,0.169,0.162
5,750,0.958,0.07000151365170783,0.161,0.166
5,770,0.962,0.07772669857213774,0.162,0.164
5,790,0.972,0.05863360683936933,0.164,0.16
5,810,0.96,0.07106179302526233,0.208,0.204
5,830,0.978,0.060672880952738706,0.147,0.148
5,850,0.962,0.07768184710434639,0.146,0.14
5,870,0.98,0.054811100880370923,0.134,0.136
5,890,0.968,0.06063442178745372,0.161,0.162
5,910,0.964,0.0663801214486012,0.175,0.176
5,930,0.98,0.05421588840918435,0.131,0.132
5,950,0.974,0.05991108733197441,0.152,0.152
5,970,0.974,0.06336754672604528,0.123,0.124
5,990,0.968,0.06274120574565224,0.167,0.162
5,1010,0.972,0.05228622115041797,0.119,0.116
5,1030,0.976,0.049666543269803506,0.116,0.12
5,1050,0.978,0.06447988557590462,0.122,0.124
5,1070,0.95,0.0655803921649521,0.128,0.13
