$\sigma_{h_1}$,$\sigma_{h_2}$,$\sigma_{x_1}$,$\sigma_{x_2}$,success_rate
0.1,0.1,0.1,0.1,0.45
0.1,0.1,0.2,0.2,0.5
0.1,0.1,0.3,0.3,0.446
0.1,0.1,0.4,0.4,0.428
0.1,0.1,0.5,0.5,0.482
0.1,0.1,0.6,0.6,0.46
0.1,0.1,0.7,0.7,0.478
0.1,0.1,0.8,0.8,0.466
0.1,0.1,0.9,0.9,0.47
0.1,0.1,1.0,1.0,0.51
0.1,0.1,1.1,1.1,0.468
0.1,0.1,1.2,1.2,0.482
0.1,0.1,1.3,1.3,0.478
0.1,0.1,1.4,1.4,0.502
0.1,0.1,1.5,1.5,0.458
0.1,0.1,1.6,1.6,0.478
0.1,0.1,1.7,1.7,0.444
0.1,0.1,1.8,1.8,0.488
0.1,0.1,1.9,1.9,0.48
0.1,0.1,2.0,2.0,0.482
0.1,0.1,2.1,2.1,0.464
0.1,0.1,2.2,2.2,0.524
0.1,0.1,2.3,2.3,0.462
0.1,0.1,2.4,2.4,0.504
0.1,0.1,2.5,2.5,0.49
0.1,0.1,2.6,2.6,0.504
0.1,0.1,2.7,2.7,0.47
0.1,0.1,2.8,2.8,0.49
0.1,0.1,2.9,2.9,0.5
0.1,0.1,3.0,3.0,0.464
0.1,0.1,3.1,3.1,0.494
0.1,0.1,3.2,3.2,0.498
0.1,0.1,3.3,3.3,0.498
0.1,0.1,3.4,3.4,0.488
0.1,0.1,3.5,3.5,0.48
0.1,0.1,3.6,3.6,0.492
0.1,0.1,3.7,3.7,0.492
0.1,0.1,3.8,3.8,0.47
0.1,0.1,3.9,3.9,0.458
0.1,0.1,4.0,4.0,0.474
0.1,0.1,4.1,4.1,0.448
0.1,0.1,4.2,4.2,0.472
0.1,0.1,4.3,4.3,0.484
0.1,0.1,4.4,4.4,0.464
0.1,0.1,4.5,4.5,0.488
0.1,0.1,4.6,4.6,0.442
0.1,0.1,4.7,4.7,0.502
0.1,0.1,4.8,4.8,0.488
0.1,0.1,4.9,4.9,0.49
0.1,0.1,5.0,5.0,0.47
0.1,0.1,5.1,5.1,0.448
0.1,0.1,5.2,5.2,0.488
0.1,0.1,5.3,5.3,0.468
0.1,0.1,5.4,5.4,0.432
0.1,0.1,5.5,5.5,0.51
0.1,0.1,5.6,5.6,0.524
0.1,0.1,5.7,5.7,0.476
0.1,0.1,5.8,5.8,0.474
0.1,0.1,5.9,5.9,0.496
0.1,0.1,6.0,6.0,0.434
0.1,0.1,6.1,6.1,0.466
0.1,0.1,6.2,6.2,0.444
0.1,0.1,6.3,6.3,0.484
0.1,0.1,6.4,6.4,0.492
0.1,0.1,6.5,6.5,0.504
0.1,0.1,6.6,6.6,0.482
0.1,0.1,6.7,6.7,0.448
0.1,0.1,6.8,6.8,0.46
0.1,0.1,6.9,6.9,0.478
0.1,0.1,7.0,7.0,0.49
0.1,0.1,7.1,7.1,0.448
0.1,0.1,7.2,7.2,0.456
0.1,0.1,7.3,7.3,0.478
0.1,0.1,7.4,7.4,0.482
0.1,0.1,7.5,7.5,0.506
0.1,0.1,7.6,7.6,0.476
0.1,0.1,7.7,7.7,0.444
0.1,0.1,7.8,7.8,0.476
0.1,0.1,7.9,7.9,0.51
0.1,0.1,8.0,8.0,0.46
0.1,0.1,8.1,8.1,0.442
