$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS
10,2,0.0,3.0,0.6,0.9424479007720947,0.862
10,5,0.0,3.0,0.8999999999999999,1.0024241209030151,0.826
10,10,0.0,3.0,1.5,1.0030075311660767,0.773
10,20,0.0,3.0,3.0,0.9886840581893921,0.706
50,2,0.0,12.0,0.6,0.9638073444366455,0.911
50,5,0.0,12.0,0.8999999999999999,0.9951508641242981,0.915
50,10,0.0,12.0,1.5,0.994620144367218,0.897
50,20,0.0,12.0,3.0,0.9905408620834351,0.863
100,2,0.0,15.0,0.6,0.9872431755065918,0.931
100,5,0.0,15.0,0.8999999999999999,0.9817299246788025,0.936
100,10,0.0,15.0,1.5,0.9987762570381165,0.928
100,20,0.0,15.0,3.0,0.990641176700592,0.898
200,2,0.0,30.0,0.6,0.995398759841919,0.946
200,5,0.0,30.0,0.8999999999999999,0.97354656457901,0.954
200,10,0.0,30.0,1.5,0.9843605756759644,0.951
200,20,0.0,30.0,3.0,0.9869990348815918,0.935
500,2,0.0,90.0,0.6,0.9911918044090271,0.964
500,5,0.0,90.0,0.8999999999999999,0.966126561164856,0.969
500,10,0.0,90.0,1.5,0.9728604555130005,0.967
500,20,0.0,90.0,3.0,0.9821248650550842,0.958
