$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS
10,2,0.0,3.0,0.6,1.0032696723937988,0.886
10,5,0.0,3.0,0.8999999999999999,0.9893562197685242,0.773
10,10,0.0,3.0,1.5,0.9960980415344238,0.707
10,20,0.0,3.0,3.0,1.0040138959884644,0.666
50,2,0.0,12.0,0.6,0.9953234791755676,0.948
50,5,0.0,12.0,0.8999999999999999,0.9991491436958313,0.9
50,10,0.0,12.0,1.5,0.9997177124023438,0.862
50,20,0.0,12.0,3.0,1.0016275644302368,0.842
100,2,0.0,15.0,0.6,0.9930209517478943,0.966
100,5,0.0,15.0,0.8999999999999999,0.9936743974685669,0.931
100,10,0.0,15.0,1.5,0.9885507225990295,0.911
100,20,0.0,15.0,3.0,0.989784836769104,0.889
200,2,0.0,30.0,0.6,0.9866415858268738,0.976
200,5,0.0,30.0,0.8999999999999999,0.9937843084335327,0.952
200,10,0.0,30.0,1.5,0.9949364066123962,0.935
200,20,0.0,30.0,3.0,0.9914775490760803,0.924
500,2,0.0,90.0,0.6,0.989342212677002,0.984
500,5,0.0,90.0,0.8999999999999999,0.9832096695899963,0.978
500,10,0.0,90.0,1.5,0.9964502453804016,0.96
500,20,0.0,90.0,3.0,0.9878898859024048,0.951
