$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS
10,2,0.0,3.0,0.6,1.0007482767105103,0.892
10,5,0.0,3.0,0.8999999999999999,0.9924368262290955,0.763
10,10,0.0,3.0,1.5,0.9975444674491882,0.62
10,20,0.0,3.0,3.0,1.0028996467590332,0.447
50,2,0.0,12.0,0.6,0.9936285018920898,0.946
50,5,0.0,12.0,0.8999999999999999,1.007388949394226,0.89
50,10,0.0,12.0,1.5,0.9996756911277771,0.806
50,20,0.0,12.0,3.0,0.9919954538345337,0.658
100,2,0.0,15.0,0.6,0.9934108853340149,0.967
100,5,0.0,15.0,0.8999999999999999,0.9895574450492859,0.918
100,10,0.0,15.0,1.5,0.9845353960990906,0.853
100,20,0.0,15.0,3.0,0.9997485876083374,0.743
200,2,0.0,30.0,0.6,0.9893298745155334,0.975
200,5,0.0,30.0,0.8999999999999999,0.9895685911178589,0.944
200,10,0.0,30.0,1.5,0.9939985275268555,0.898
200,20,0.0,30.0,3.0,0.9852955341339111,0.801
500,2,0.0,90.0,0.6,0.995431661605835,0.983
500,5,0.0,90.0,0.8999999999999999,0.9919898509979248,0.965
500,10,0.0,90.0,1.5,1.0022460222244263,0.933
500,20,0.0,90.0,3.0,0.9977644681930542,0.868
