$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.0,0.0,0.0,0.0,0.988,0.04211304505197433,0.08
0.0,0.0,0.1,0.1,0.984,0.03499336623870743,0.067
0.0,0.0,0.2,0.2,0.982,0.03250151078435459,0.082
0.0,0.0,0.3,0.3,0.978,0.034312743220608684,0.105
0.0,0.0,0.4,0.4,0.984,0.03729222997806798,0.077
0.0,0.0,0.5,0.5,0.982,0.03734681883944146,0.081
0.0,0.0,0.6,0.6,0.984,0.04332302723676847,0.085
0.0,0.0,0.7,0.7,0.966,0.04228817788373454,0.116
0.0,0.0,0.8,0.8,0.98,0.03622595447664509,0.105
0.0,0.0,0.9,0.9,0.96,0.053714776103706105,0.118
0.0,0.0,1.0,1.0,0.974,0.056371032146515586,0.126
0.0,0.0,1.1,1.1,0.978,0.05232333015918942,0.112
0.0,0.0,1.2,1.2,0.968,0.06211805378933693,0.107
0.0,0.0,1.3,1.3,0.954,0.07980931602947608,0.112
0.0,0.0,1.4,1.4,0.958,0.09705415731033808,0.117
0.0,0.0,1.5,1.5,0.938,0.08870774362861324,0.149
0.0,0.0,1.6,1.6,0.956,0.09740167841198673,0.162
0.0,0.0,1.7,1.7,0.932,0.12458430800519,0.167
0.0,0.0,1.8,1.8,0.936,0.12899278978664383,0.159
0.0,0.0,1.9,1.9,0.914,0.17067102181092147,0.219
0.0,0.0,2.0,2.0,0.916,0.17209585214472678,0.227
0.0,0.0,2.1,2.1,0.888,0.20589121319000117,0.261
0.0,0.0,2.2,2.2,0.842,0.24889092588578,0.298
0.0,0.0,2.3,2.3,0.878,0.26132461141292124,0.33
0.0,0.0,2.4,2.4,0.834,0.32827490408444854,0.412
0.0,0.0,2.5,2.5,0.826,0.3708450897959883,0.423
0.0,0.0,2.6,2.6,0.764,0.4034104756050404,0.495
0.0,0.0,2.7,2.7,0.766,0.42777348128880094,0.511
0.0,0.0,2.8,2.8,0.778,0.4867732753870528,0.62
0.0,0.0,2.9,2.9,0.7,0.5647628676021589,0.757
0.0,0.0,3.0,3.0,0.694,0.6136637762707585,0.784
0.0,0.0,3.1,3.1,0.614,0.6786718014813569,0.968
