$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.0,0.0,0.0,0.0,0.738,,
0.0,0.0,0.1,0.1,0.682,,
0.0,0.0,0.2,0.2,0.644,,
0.0,0.0,0.3,0.3,0.668,,
0.0,0.0,0.4,0.4,0.63,,
0.0,0.0,0.5,0.5,0.626,,
0.0,0.0,0.6,0.6,0.564,,
0.0,0.0,0.7,0.7,0.49,,
0.0,0.0,0.8,0.8,0.51,,
0.0,0.0,0.9,0.9,0.426,,
0.0,0.0,1.0,1.0,0.358,,
0.0,0.0,1.1,1.1,0.35,,
0.0,0.0,1.2,1.2,0.304,,
0.0,0.0,1.3,1.3,0.26,,
0.0,0.0,1.4,1.4,0.23,,
0.0,0.0,1.5,1.5,0.23,,
0.0,0.0,1.6,1.6,0.192,,
0.0,0.0,1.7,1.7,0.172,,
0.0,0.0,1.8,1.8,0.186,,
0.0,0.0,1.9,1.9,0.132,,
0.0,0.0,2.0,2.0,0.142,,
0.0,0.0,2.1,2.1,0.122,,
0.0,0.0,2.2,2.2,0.108,,
0.0,0.0,2.3,2.3,0.112,,
0.0,0.0,2.4,2.4,0.11,,
0.0,0.0,2.5,2.5,0.086,,
0.0,0.0,2.6,2.6,0.084,,
0.0,0.0,2.7,2.7,0.088,,
0.0,0.0,2.8,2.8,0.068,,
0.0,0.0,2.9,2.9,0.056,,
0.0,0.0,3.0,3.0,0.072,,
0.0,0.0,3.1,3.1,0.076,,
0.0,0.0,3.2,3.2,0.048,,
0.0,0.0,3.3,3.3,0.066,,
0.0,0.0,3.4,3.4,0.048,,
0.0,0.0,3.5,3.5,0.062,,
0.0,0.0,3.6,3.6,0.054,,
0.0,0.0,3.7,3.7,0.064,,
0.0,0.0,3.8,3.8,0.056,,
0.0,0.0,3.9,3.9,0.052,,
0.0,0.0,4.0,4.0,0.06,,
0.0,0.0,4.1,4.1,0.04,,
0.0,0.0,4.2,4.2,0.05,,
0.0,0.0,4.3,4.3,0.066,,
0.0,0.0,4.4,4.4,0.066,,
0.0,0.0,4.5,4.5,0.056,,
0.0,0.0,4.6,4.6,0.052,,
0.0,0.0,4.7,4.7,0.046,,
0.0,0.0,4.8,4.8,0.074,,
0.0,0.0,4.9,4.9,0.064,,
0.0,0.0,5.0,5.0,0.038,,
0.0,0.0,5.1,5.1,0.048,,
