$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.5541427731513977,0.92,0.24921682476997375
10,3,0.0,3.0,0.3,0.5582953691482544,0.879,0.038354646414518356
10,4,0.0,3.0,0.3,0.6564570069313049,0.836,0.09654094278812408
10,5,0.0,3.0,0.3,0.666703462600708,0.788,0.21396394073963165
10,8,0.0,3.0,0.8999999999999999,0.8636690378189087,0.692,0.10630067437887192
10,10,0.0,3.0,0.6,0.9253321886062622,0.628,0.22112666070461273
10,15,0.0,3.0,1.5,1.0217335224151611,0.533,0.468173623085022
10,20,0.0,3.0,1.5,1.0901936292648315,0.472,0.6670502424240112
10,30,0.0,3.0,3.0,1.241290807723999,0.389,0.5712529420852661
10,40,0.0,3.0,3.0,1.313379168510437,0.336,0.8124293088912964
10,80,0.0,3.0,12.0,1.2116461992263794,0.2,2.323803663253784
10,100,0.0,3.0,6.0,1.1537197828292847,0.169,2.836270570755005
50,2,0.0,12.0,0.6,0.6626461744308472,0.97,-0.04462747648358345
50,3,0.0,12.0,0.3,0.6350966095924377,0.951,0.21147355437278748
50,4,0.0,12.0,0.3,0.698838472366333,0.928,0.09070135653018951
50,5,0.0,12.0,0.3,0.7465035915374756,0.906,0.11907903105020523
50,8,0.0,12.0,0.8999999999999999,0.879213273525238,0.858,0.1269160360097885
50,10,0.0,12.0,0.6,0.9163269400596619,0.835,0.20711448788642883
50,15,0.0,12.0,1.5,0.9982709288597107,0.788,0.31532949209213257
50,20,0.0,12.0,1.5,1.0441582202911377,0.752,0.4860801696777344
50,30,0.0,12.0,3.0,1.1498392820358276,0.709,0.4964922070503235
50,40,0.0,12.0,3.0,1.1418753862380981,0.645,0.9721390008926392
50,80,0.0,12.0,12.0,1.274662733078003,0.551,1.129379391670227
50,100,0.0,12.0,6.0,1.3575352430343628,0.527,0.9039291739463806
100,2,0.0,15.0,0.6,0.6539449691772461,0.98,0.341317743062973
100,3,0.0,15.0,0.3,0.6524918079376221,0.968,0.15955772995948792
100,4,0.0,15.0,0.3,0.7073984742164612,0.949,0.12476092576980591
100,5,0.0,15.0,0.3,0.782545268535614,0.936,0.01998002827167511
100,8,0.0,15.0,0.8999999999999999,0.8683310151100159,0.907,0.11971524357795715
100,10,0.0,15.0,0.6,0.9074284434318542,0.885,0.20669515430927277
100,15,0.0,15.0,1.5,0.9879912734031677,0.851,0.30775824189186096
100,20,0.0,15.0,1.5,1.0162912607192993,0.82,0.6428675651550293
100,30,0.0,15.0,3.0,1.1188617944717407,0.791,0.6068671345710754
100,40,0.0,15.0,3.0,1.1217679977416992,0.742,0.9189543724060059
100,80,0.0,15.0,12.0,1.3113768100738525,0.683,0.7955687046051025
100,100,0.0,15.0,6.0,1.250955581665039,0.637,1.3572548627853394
200,2,0.0,30.0,0.6,0.7088417410850525,0.984,0.0877678245306015
200,3,0.0,30.0,0.3,0.6963532567024231,0.975,0.0871276706457138
200,4,0.0,30.0,0.3,0.722773551940918,0.969,0.12581901252269745
200,5,0.0,30.0,0.3,0.7741426229476929,0.957,0.06824657320976257
200,8,0.0,30.0,0.8999999999999999,0.8892624378204346,0.934,0.10593149065971375
200,10,0.0,30.0,0.6,0.8917725682258606,0.918,0.46331581473350525
200,15,0.0,30.0,1.5,0.9769533276557922,0.894,0.3754715621471405
200,20,0.0,30.0,1.5,1.0038877725601196,0.876,0.705405056476593
200,30,0.0,30.0,3.0,1.0651212930679321,0.839,0.8274517059326172
200,40,0.0,30.0,3.0,1.1335434913635254,0.827,0.7887240648269653
200,80,0.0,30.0,12.0,1.1872249841690063,0.754,1.3871097564697266
200,100,0.0,30.0,6.0,1.2142055034637451,0.734,1.4711246490478516
500,2,0.0,90.0,0.6,0.7283186316490173,0.99,0.3234099745750427
500,3,0.0,90.0,0.3,0.7122307419776917,0.986,0.1232377365231514
500,4,0.0,90.0,0.3,0.7555136680603027,0.98,0.13535405695438385
500,5,0.0,90.0,0.3,0.7822844386100769,0.973,0.20448318123817444
500,8,0.0,90.0,0.8999999999999999,0.8674144744873047,0.958,0.3844086825847626
500,10,0.0,90.0,0.6,0.9002284407615662,0.954,0.2989625036716461
500,15,0.0,90.0,1.5,0.938398003578186,0.934,0.7834265232086182
500,20,0.0,90.0,1.5,0.9918575882911682,0.922,0.8283981680870056
500,30,0.0,90.0,3.0,1.0235960483551025,0.895,1.145369291305542
500,40,0.0,90.0,3.0,1.0511516332626343,0.882,1.367329478263855
500,80,0.0,90.0,12.0,1.1348861455917358,0.84,1.632192611694336
500,100,0.0,90.0,6.0,1.147853136062622,0.826,1.8312625885009766
