$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.6867735385894775,0.917,-0.08772745728492737
10,3,0.0,3.0,0.3,0.6198581457138062,0.879,0.18275855481624603
10,4,0.0,3.0,0.3,0.676569938659668,0.823,0.24285361170768738
10,5,0.0,3.0,0.3,0.7360405325889587,0.765,0.024456551298499107
10,8,0.0,3.0,0.8999999999999999,0.8423554301261902,0.633,0.2483239471912384
10,10,0.0,3.0,0.6,0.8808513879776001,0.564,0.20585685968399048
10,15,0.0,3.0,1.5,0.963182270526886,0.435,0.4014573395252228
10,20,0.0,3.0,1.5,1.0002251863479614,0.35,0.564353883266449
10,30,0.0,3.0,3.0,0.9954665899276733,0.239,1.2321311235427856
10,40,0.0,3.0,3.0,0.9936431646347046,0.181,1.5738385915756226
10,80,0.0,3.0,12.0,0.3999539911746979,0.07,4.887974739074707
10,100,0.0,3.0,6.0,0.16903604567050934,0.049,5.898012638092041
50,2,0.0,12.0,0.6,0.7802836298942566,0.966,-0.2603275775909424
50,3,0.0,12.0,0.3,0.740716278553009,0.945,-0.2987232804298401
50,4,0.0,12.0,0.3,0.7099497318267822,0.916,0.25814318656921387
50,5,0.0,12.0,0.3,0.7508783340454102,0.885,0.2435271441936493
50,8,0.0,12.0,0.8999999999999999,0.8710967302322388,0.807,0.03038712777197361
50,10,0.0,12.0,0.6,0.8943453431129456,0.751,-0.01874437928199768
50,15,0.0,12.0,1.5,0.9061897397041321,0.648,0.2413344532251358
50,20,0.0,12.0,1.5,0.9578707218170166,0.565,0.14808885753154755
50,30,0.0,12.0,3.0,0.9614361524581909,0.444,0.5547727346420288
50,40,0.0,12.0,3.0,0.9717274308204651,0.356,0.7366039752960205
50,80,0.0,12.0,12.0,0.9464883804321289,0.206,1.5572742223739624
50,100,0.0,12.0,6.0,0.9274540543556213,0.169,1.8956443071365356
100,2,0.0,15.0,0.6,0.7199438810348511,0.98,0.09481871873140335
100,3,0.0,15.0,0.3,0.708258867263794,0.959,0.25663742423057556
100,4,0.0,15.0,0.3,0.7734607458114624,0.94,0.12068331986665726
100,5,0.0,15.0,0.3,0.8469769358634949,0.925,-0.05100708082318306
100,8,0.0,15.0,0.8999999999999999,0.7721536755561829,0.862,0.4628637731075287
100,10,0.0,15.0,0.6,0.8852136135101318,0.829,0.26262712478637695
100,15,0.0,15.0,1.5,0.8949044346809387,0.727,0.35344552993774414
100,20,0.0,15.0,1.5,0.9464824199676514,0.65,0.23385311663150787
100,30,0.0,15.0,3.0,0.9813506603240967,0.542,0.33979275822639465
100,40,0.0,15.0,3.0,0.9675182104110718,0.463,0.5006036758422852
100,80,0.0,15.0,12.0,0.9350658059120178,0.269,1.3597275018692017
100,100,0.0,15.0,6.0,0.9224552512168884,0.225,1.6032003164291382
200,2,0.0,30.0,0.6,0.7318433523178101,0.982,0.3599987030029297
200,3,0.0,30.0,0.3,0.7330207228660583,0.974,0.14555969834327698
200,4,0.0,30.0,0.3,0.7964314818382263,0.959,-0.013286648318171501
200,5,0.0,30.0,0.3,0.8166153430938721,0.947,-0.049972809851169586
200,8,0.0,30.0,0.8999999999999999,0.8579028248786926,0.893,0.2585975229740143
200,10,0.0,30.0,0.6,0.9064241051673889,0.865,0.0002023427077801898
200,15,0.0,30.0,1.5,0.9341123700141907,0.796,0.16533522307872772
200,20,0.0,30.0,1.5,0.9307720065116882,0.731,0.42254626750946045
200,30,0.0,30.0,3.0,0.9566120505332947,0.616,0.4095461964607239
200,40,0.0,30.0,3.0,0.9730141758918762,0.56,0.46887972950935364
200,80,0.0,30.0,12.0,0.9592113494873047,0.35,1.002460241317749
200,100,0.0,30.0,6.0,0.9576368927955627,0.299,1.1240257024765015
500,2,0.0,90.0,0.6,0.7667437195777893,0.991,0.2613043189048767
500,3,0.0,90.0,0.3,0.7544040679931641,0.982,0.368286669254303
500,4,0.0,90.0,0.3,0.7884621024131775,0.973,0.30611398816108704
500,5,0.0,90.0,0.3,0.8076504468917847,0.963,0.3512538969516754
500,8,0.0,90.0,0.8999999999999999,0.8585092425346375,0.929,0.3186124265193939
500,10,0.0,90.0,0.6,0.8915155529975891,0.919,0.3641526997089386
500,15,0.0,90.0,1.5,0.9390037655830383,0.86,0.16917072236537933
500,20,0.0,90.0,1.5,0.9353691935539246,0.813,0.4880382716655731
500,30,0.0,90.0,3.0,0.9614953398704529,0.725,0.3709965944290161
500,40,0.0,90.0,3.0,0.9631959199905396,0.671,0.5046107172966003
500,80,0.0,90.0,12.0,0.9909792542457581,0.475,0.6444595456123352
500,100,0.0,90.0,6.0,0.9775062799453735,0.408,0.874801516532898
