$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.9423087239265442,0.862,2.6227922439575195
10,5,0.0,3.0,0.8999999999999999,1.0086860656738281,0.826,4.932078838348389
10,8,0.0,3.0,0.8999999999999999,1.0127558708190918,0.795,5.394925117492676
10,10,0.0,3.0,0.6,1.0088480710983276,0.773,5.566871643066406
10,15,0.0,3.0,1.5,1.0046201944351196,0.729,5.921494960784912
10,20,0.0,3.0,1.5,0.9988898634910583,0.706,6.142157554626465
10,30,0.0,3.0,3.0,1.0006157159805298,0.67,6.371493816375732
10,40,0.0,3.0,3.0,1.0099363327026367,0.647,6.511033535003662
50,2,0.0,12.0,0.6,0.9691288471221924,0.911,2.7128615379333496
50,5,0.0,12.0,0.8999999999999999,1.0004887580871582,0.915,5.014557361602783
50,8,0.0,12.0,0.8999999999999999,1.0080735683441162,0.905,5.408102989196777
50,10,0.0,12.0,0.6,1.0020159482955933,0.897,5.6168317794799805
50,15,0.0,12.0,1.5,1.007536768913269,0.88,5.903188705444336
50,20,0.0,12.0,1.5,0.9981900453567505,0.863,6.088295936584473
50,30,0.0,12.0,3.0,0.9929873943328857,0.847,6.367012023925781
50,40,0.0,12.0,3.0,1.0053929090499878,0.837,6.4555230140686035
100,2,0.0,15.0,0.6,0.9935732483863831,0.931,2.5237433910369873
100,5,0.0,15.0,0.8999999999999999,0.9874604344367981,0.936,5.041260242462158
100,8,0.0,15.0,0.8999999999999999,1.0045733451843262,0.931,5.443249225616455
100,10,0.0,15.0,0.6,1.006203055381775,0.928,5.608434677124023
100,15,0.0,15.0,1.5,0.9968962669372559,0.912,5.901465892791748
100,20,0.0,15.0,1.5,0.9991801381111145,0.898,6.099954605102539
100,30,0.0,15.0,3.0,0.9965298771858215,0.887,6.345738887786865
100,40,0.0,15.0,3.0,0.9990214705467224,0.882,6.4474711418151855
200,2,0.0,30.0,0.6,0.9979565143585205,0.946,2.47792387008667
200,5,0.0,30.0,0.8999999999999999,0.9780633449554443,0.954,5.000033378601074
200,8,0.0,30.0,0.8999999999999999,0.9909857511520386,0.955,5.484522342681885
200,10,0.0,30.0,0.6,0.9958447813987732,0.951,5.65314245223999
200,15,0.0,30.0,1.5,0.9919976592063904,0.937,5.945384979248047
200,20,0.0,30.0,1.5,0.9949811697006226,0.935,6.079888343811035
200,30,0.0,30.0,3.0,0.9753133654594421,0.923,6.4303107261657715
200,40,0.0,30.0,3.0,0.9706448316574097,0.917,6.566389083862305
500,2,0.0,90.0,0.6,0.9930758476257324,0.964,2.509352445602417
500,5,0.0,90.0,0.8999999999999999,0.9726943373680115,0.969,4.839339256286621
500,8,0.0,90.0,0.8999999999999999,0.9912031888961792,0.971,5.4763007164001465
500,10,0.0,90.0,0.6,0.9816251993179321,0.967,5.6615471839904785
500,15,0.0,90.0,1.5,0.9993483424186707,0.964,5.940487384796143
500,20,0.0,90.0,1.5,0.9893372654914856,0.958,6.0986127853393555
500,30,0.0,90.0,3.0,0.985869824886322,0.953,6.313338756561279
500,40,0.0,90.0,3.0,0.9787322878837585,0.947,6.535892009735107
