$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,1.0026113986968994,0.886,-0.0420684777200222
10,5,0.0,3.0,0.8999999999999999,0.9893592000007629,0.773,0.8180685639381409
10,8,0.0,3.0,0.8999999999999999,0.9898662567138672,0.729,1.1327180862426758
10,10,0.0,3.0,0.6,0.9968723654747009,0.707,1.2085329294204712
10,15,0.0,3.0,1.5,0.9977865815162659,0.686,1.4134823083877563
10,20,0.0,3.0,1.5,1.0042225122451782,0.666,1.5195086002349854
10,30,0.0,3.0,3.0,0.9941690564155579,0.62,1.7988513708114624
10,40,0.0,3.0,3.0,1.0010985136032104,0.605,1.8795708417892456
50,2,0.0,12.0,0.6,0.9950792789459229,0.948,0.04000099003314972
50,5,0.0,12.0,0.8999999999999999,0.9998738765716553,0.9,0.7156166434288025
50,8,0.0,12.0,0.8999999999999999,0.9942263960838318,0.876,1.040688395500183
50,10,0.0,12.0,0.6,1.0009480714797974,0.862,1.1276637315750122
50,15,0.0,12.0,1.5,1.00971519947052,0.862,1.2784721851348877
50,20,0.0,12.0,1.5,1.0020424127578735,0.842,1.482733130455017
50,30,0.0,12.0,3.0,1.004128098487854,0.829,1.6787991523742676
50,40,0.0,12.0,3.0,0.9944771528244019,0.813,1.8855940103530884
100,2,0.0,15.0,0.6,0.9933120012283325,0.966,0.07317329943180084
100,5,0.0,15.0,0.8999999999999999,0.994990885257721,0.931,0.7431774735450745
100,8,0.0,15.0,0.8999999999999999,0.9905523657798767,0.914,1.0553478002548218
100,10,0.0,15.0,0.6,0.9880079627037048,0.911,1.1862907409667969
100,15,0.0,15.0,1.5,0.998199462890625,0.894,1.3541884422302246
100,20,0.0,15.0,1.5,0.9915825128555298,0.889,1.5670119524002075
100,30,0.0,15.0,3.0,0.9931631088256836,0.877,1.6843575239181519
100,40,0.0,15.0,3.0,0.994152843952179,0.866,1.8509804010391235
200,2,0.0,30.0,0.6,0.9866540431976318,0.976,0.10789930075407028
200,5,0.0,30.0,0.8999999999999999,0.994011402130127,0.952,0.756763219833374
200,8,0.0,30.0,0.8999999999999999,0.9863884449005127,0.944,1.0829436779022217
200,10,0.0,30.0,0.6,0.9962185025215149,0.935,1.1378227472305298
200,15,0.0,30.0,1.5,0.9899617433547974,0.924,1.3852726221084595
200,20,0.0,30.0,1.5,0.9933493733406067,0.924,1.4964804649353027
200,30,0.0,30.0,3.0,0.9948650598526001,0.91,1.6897575855255127
200,40,0.0,30.0,3.0,0.9933634400367737,0.907,1.8349641561508179
500,2,0.0,90.0,0.6,0.989013135433197,0.984,0.06691041588783264
500,5,0.0,90.0,0.8999999999999999,0.9840260148048401,0.978,0.7423222064971924
500,8,0.0,90.0,0.8999999999999999,0.9906501173973083,0.966,1.0573906898498535
500,10,0.0,90.0,0.6,0.9965074062347412,0.96,1.1088711023330688
500,15,0.0,90.0,1.5,0.9916611313819885,0.953,1.3826264142990112
500,20,0.0,90.0,1.5,0.9890816807746887,0.951,1.548748254776001
500,30,0.0,90.0,3.0,0.9917809963226318,0.944,1.7052737474441528
500,40,0.0,90.0,3.0,0.9882668256759644,0.939,1.8768932819366455
