$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,1.0005377531051636,0.892,0.009079186245799065
10,5,0.0,3.0,0.8999999999999999,0.9922164082527161,0.763,0.8364242911338806
10,8,0.0,3.0,0.8999999999999999,1.0058512687683105,0.666,1.0264291763305664
10,10,0.0,3.0,0.6,0.9997578859329224,0.62,1.182560920715332
10,15,0.0,3.0,1.5,0.9788076281547546,0.537,1.4527126550674438
10,20,0.0,3.0,1.5,1.0035929679870605,0.447,1.3988444805145264
10,30,0.0,3.0,3.0,0.9929445385932922,0.364,1.5808794498443604
10,40,0.0,3.0,3.0,0.9985864162445068,0.293,1.634695291519165
50,2,0.0,12.0,0.6,0.9933056831359863,0.946,0.048478323966264725
50,5,0.0,12.0,0.8999999999999999,1.0069535970687866,0.89,0.8914533853530884
50,8,0.0,12.0,0.8999999999999999,0.9920626878738403,0.839,1.2186652421951294
50,10,0.0,12.0,0.6,1.0012634992599487,0.806,1.2828361988067627
50,15,0.0,12.0,1.5,1.0100888013839722,0.722,1.2714179754257202
50,20,0.0,12.0,1.5,0.9934119582176208,0.658,1.489609718322754
50,30,0.0,12.0,3.0,1.0005477666854858,0.569,1.519070029258728
50,40,0.0,12.0,3.0,0.9972978234291077,0.5,1.6203727722167969
100,2,0.0,15.0,0.6,0.9918434023857117,0.967,0.06674057245254517
100,5,0.0,15.0,0.8999999999999999,0.9906657934188843,0.918,0.963992178440094
100,8,0.0,15.0,0.8999999999999999,0.9998154044151306,0.874,1.1742868423461914
100,10,0.0,15.0,0.6,0.9858735799789429,0.853,1.3030940294265747
100,15,0.0,15.0,1.5,1.0009002685546875,0.793,1.4261549711227417
100,20,0.0,15.0,1.5,0.9981291890144348,0.743,1.5873425006866455
100,30,0.0,15.0,3.0,0.9979410171508789,0.648,1.5853216648101807
100,40,0.0,15.0,3.0,0.999082088470459,0.59,1.6164096593856812
200,2,0.0,30.0,0.6,0.9894571900367737,0.975,0.08132974058389664
200,5,0.0,30.0,0.8999999999999999,0.9888691306114197,0.944,1.0112547874450684
200,8,0.0,30.0,0.8999999999999999,0.9978419542312622,0.912,1.2036718130111694
200,10,0.0,30.0,0.6,0.9950571060180664,0.898,1.4136278629302979
200,15,0.0,30.0,1.5,0.9938631653785706,0.842,1.476229190826416
200,20,0.0,30.0,1.5,0.9855473041534424,0.801,1.5661066770553589
200,30,0.0,30.0,3.0,0.9915366172790527,0.737,1.5636100769042969
200,40,0.0,30.0,3.0,0.9930728673934937,0.662,1.6250561475753784
500,2,0.0,90.0,0.6,0.9956409335136414,0.983,0.023129723966121674
500,5,0.0,90.0,0.8999999999999999,0.9926502704620361,0.965,0.9729642271995544
500,8,0.0,90.0,0.8999999999999999,0.9895387291908264,0.945,1.2682335376739502
500,10,0.0,90.0,0.6,1.0012608766555786,0.933,1.3055530786514282
500,15,0.0,90.0,1.5,0.9958834052085876,0.905,1.446380376815796
500,20,0.0,90.0,1.5,0.9978893995285034,0.868,1.5149471759796143
500,30,0.0,90.0,3.0,0.9949113130569458,0.818,1.5684648752212524
500,40,0.0,90.0,3.0,0.9743263721466064,0.779,1.7038204669952393
