$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.5766780972480774,0.92,-0.008258762769401073
10,3,0.0,3.0,0.3,0.5663429498672485,0.879,-0.0638902485370636
10,4,0.0,3.0,0.3,0.667385458946228,0.835,0.0797654390335083
10,5,0.0,3.0,0.3,0.6828209161758423,0.788,0.04795638844370842
10,8,0.0,3.0,0.8999999999999999,0.8647897839546204,0.692,0.11657661944627762
10,10,0.0,3.0,0.6,0.9339300394058228,0.628,0.12643100321292877
10,15,0.0,3.0,1.5,1.038761854171753,0.533,0.2988795042037964
10,20,0.0,3.0,1.5,1.1302915811538696,0.472,0.2634514272212982
10,30,0.0,3.0,3.0,1.2921547889709473,0.389,0.13434863090515137
10,40,0.0,3.0,3.0,1.385027527809143,0.336,0.22540788352489471
50,2,0.0,12.0,0.6,0.6438270211219788,0.971,0.14211039245128632
50,3,0.0,12.0,0.3,0.6442631483078003,0.951,0.08748522400856018
50,4,0.0,12.0,0.3,0.7066440582275391,0.928,0.008581980131566525
50,5,0.0,12.0,0.3,0.7479129433631897,0.906,0.10520680993795395
50,8,0.0,12.0,0.8999999999999999,0.8942535519599915,0.858,-0.029037542641162872
50,10,0.0,12.0,0.6,0.9294560551643372,0.835,0.06430615484714508
50,15,0.0,12.0,1.5,1.010860800743103,0.788,0.17766837775707245
50,20,0.0,12.0,1.5,1.0631365776062012,0.752,0.2916458249092102
50,30,0.0,12.0,3.0,1.1896191835403442,0.709,0.16568240523338318
50,40,0.0,12.0,3.0,1.2277554273605347,0.645,0.20037035644054413
100,2,0.0,15.0,0.6,0.659699559211731,0.98,0.2503015697002411
100,3,0.0,15.0,0.3,0.6614855527877808,0.968,0.05915113165974617
100,4,0.0,15.0,0.3,0.7121350169181824,0.949,0.07082608342170715
100,5,0.0,15.0,0.3,0.7673133611679077,0.936,0.1855735182762146
100,8,0.0,15.0,0.8999999999999999,0.8633293509483337,0.907,0.18010316789150238
100,10,0.0,15.0,0.6,0.9179636836051941,0.885,0.08840309828519821
100,15,0.0,15.0,1.5,0.9921920299530029,0.851,0.2727283537387848
100,20,0.0,15.0,1.5,1.0517871379852295,0.82,0.27940598130226135
100,30,0.0,15.0,3.0,1.171600341796875,0.791,0.09901131689548492
100,40,0.0,15.0,3.0,1.1971205472946167,0.742,0.21122132241725922
200,2,0.0,30.0,0.6,0.7181090116500854,0.984,-0.009472574107348919
200,3,0.0,30.0,0.3,0.6885456442832947,0.975,0.18549221754074097
200,4,0.0,30.0,0.3,0.7238060832023621,0.969,0.11139500141143799
200,5,0.0,30.0,0.3,0.7642636895179749,0.957,0.1805020272731781
200,8,0.0,30.0,0.8999999999999999,0.8952810764312744,0.934,0.027174625545740128
200,10,0.0,30.0,0.6,0.926820695400238,0.918,0.08059745281934738
200,15,0.0,30.0,1.5,0.9913795590400696,0.894,0.227104052901268
200,20,0.0,30.0,1.5,1.0617090463638306,0.876,0.10977201163768768
200,30,0.0,30.0,3.0,1.1232013702392578,0.839,0.25860172510147095
200,40,0.0,30.0,3.0,1.1898211240768433,0.827,0.25003471970558167
500,2,0.0,90.0,0.6,0.745708703994751,0.99,0.12979359924793243
500,3,0.0,90.0,0.3,0.7229692339897156,0.986,0.0084101976826787
500,4,0.0,90.0,0.3,0.7499035000801086,0.98,0.19532418251037598
500,5,0.0,90.0,0.3,0.7911103963851929,0.973,0.0997806116938591
500,8,0.0,90.0,0.8999999999999999,0.8897708654403687,0.958,0.14584122598171234
500,10,0.0,90.0,0.6,0.9022406339645386,0.954,0.26924481987953186
500,15,0.0,90.0,1.5,0.988150417804718,0.934,0.25347405672073364
500,20,0.0,90.0,1.5,1.038283109664917,0.922,0.3559657633304596
500,30,0.0,90.0,3.0,1.103570818901062,0.895,0.36518293619155884
500,40,0.0,90.0,3.0,1.1721245050430298,0.882,0.23654671013355255
