$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.6841534376144409,0.917,-0.08599074184894562
10,3,0.0,3.0,0.3,0.646420419216156,0.879,0.09714990854263306
10,4,0.0,3.0,0.3,0.6879733800888062,0.824,0.03484387695789337
10,5,0.0,3.0,0.3,0.7225450873374939,0.766,0.18492306768894196
10,8,0.0,3.0,0.8999999999999999,0.8494260907173157,0.633,0.13039584457874298
10,10,0.0,3.0,0.6,0.8954733610153198,0.563,-0.006966414861381054
10,15,0.0,3.0,1.5,0.9758830070495605,0.435,0.267730176448822
10,20,0.0,3.0,1.5,1.0420191287994385,0.35,0.1335306614637375
10,30,0.0,3.0,3.0,1.0831525325775146,0.239,0.354552686214447
10,40,0.0,3.0,3.0,1.1229562759399414,0.181,0.33294159173965454
50,2,0.0,12.0,0.6,0.751465380191803,0.966,0.024583665654063225
50,3,0.0,12.0,0.3,0.7245868444442749,0.945,-0.05904480069875717
50,4,0.0,12.0,0.3,0.7298147678375244,0.916,0.030735494568943977
50,5,0.0,12.0,0.3,0.7701677083969116,0.885,0.024081530049443245
50,8,0.0,12.0,0.8999999999999999,0.8715524673461914,0.807,0.03761351481080055
50,10,0.0,12.0,0.6,0.8753481507301331,0.752,0.17458415031433105
50,15,0.0,12.0,1.5,0.9203430414199829,0.648,0.07122865319252014
50,20,0.0,12.0,1.5,0.9708333015441895,0.564,-0.001565281767398119
50,30,0.0,12.0,3.0,0.9827471971511841,0.444,0.3257049024105072
50,40,0.0,12.0,3.0,1.0184062719345093,0.356,0.24898965656757355
100,2,0.0,15.0,0.6,0.7317007184028625,0.98,-0.007406128104776144
100,3,0.0,15.0,0.3,0.7211851477622986,0.959,0.13028015196323395
100,4,0.0,15.0,0.3,0.7846530675888062,0.94,0.02119695395231247
100,5,0.0,15.0,0.3,0.8197445273399353,0.925,0.01622345671057701
100,8,0.0,15.0,0.8999999999999999,0.8419196605682373,0.862,-0.005124726332724094
100,10,0.0,15.0,0.6,0.8899780511856079,0.829,0.15658865869045258
100,15,0.0,15.0,1.5,0.9183750152587891,0.727,0.08336924016475677
100,20,0.0,15.0,1.5,0.9576403498649597,0.65,0.10839288681745529
100,30,0.0,15.0,3.0,0.9871581792831421,0.542,0.2779034376144409
100,40,0.0,15.0,3.0,1.0078825950622559,0.463,0.06419451534748077
200,2,0.0,30.0,0.6,0.7543699145317078,0.982,0.09283249080181122
200,3,0.0,30.0,0.3,0.7479477524757385,0.974,0.014461083337664604
200,4,0.0,30.0,0.3,0.7981255054473877,0.959,-0.033275194466114044
200,5,0.0,30.0,0.3,0.8118863105773926,0.947,0.07596167922019958
200,8,0.0,30.0,0.8999999999999999,0.8765778541564941,0.893,0.06476874649524689
200,10,0.0,30.0,0.6,0.8870247602462769,0.865,0.16647905111312866
200,15,0.0,30.0,1.5,0.9279752969741821,0.796,0.19259542226791382
200,20,0.0,30.0,1.5,0.9411739110946655,0.731,0.2864633798599243
200,30,0.0,30.0,3.0,0.9782817363739014,0.616,0.17319372296333313
200,40,0.0,30.0,3.0,0.991580605506897,0.56,0.3075091540813446
500,2,0.0,90.0,0.6,0.7855807542800903,0.991,0.05582617223262787
500,3,0.0,90.0,0.3,0.7804527282714844,0.982,0.089762844145298
500,4,0.0,90.0,0.3,0.7941347360610962,0.973,0.24303817749023438
500,5,0.0,90.0,0.3,0.826379656791687,0.963,0.13904088735580444
500,8,0.0,90.0,0.8999999999999999,0.87601637840271,0.929,0.1268502026796341
500,10,0.0,90.0,0.6,0.8941192626953125,0.918,0.2736292779445648
500,15,0.0,90.0,1.5,0.951162576675415,0.86,0.020366182550787926
500,20,0.0,90.0,1.5,0.9744138121604919,0.813,0.06597791612148285
500,30,0.0,90.0,3.0,0.9799175262451172,0.725,0.17769837379455566
500,40,0.0,90.0,3.0,0.9988240003585815,0.67,0.14299754798412323
