$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.5429301857948303,0.922,0.4805395007133484
10,3,0.0,3.0,0.3,0.409023642539978,0.902,0.050813451409339905
10,4,0.0,3.0,0.3,0.6247323751449585,0.827,0.2871975600719452
10,5,0.0,3.0,0.3,0.693861186504364,0.816,0.3178046643733978
10,8,0.0,3.0,0.8999999999999999,0.839995265007019,0.69,0.33602216839790344
10,10,0.0,3.0,0.6,0.9056366682052612,0.627,0.5484620928764343
10,15,0.0,3.0,1.5,1.005969762802124,0.538,0.9534810781478882
10,20,0.0,3.0,1.5,1.0665998458862305,0.477,1.2459686994552612
10,30,0.0,3.0,3.0,1.256260633468628,0.394,0.934160590171814
10,40,0.0,3.0,3.0,1.2391518354415894,0.322,1.6601860523223877
10,80,0.0,3.0,12.0,1.0909022092819214,0.194,3.543246030807495
10,100,0.0,3.0,6.0,1.0298086404800415,0.163,4.098746299743652
50,2,0.0,12.0,0.6,0.6758161187171936,0.967,0.2743850648403168
50,3,0.0,12.0,0.3,0.6466445922851562,0.951,0.20806889235973358
50,4,0.0,12.0,0.3,0.6680472493171692,0.928,0.488249272108078
50,5,0.0,12.0,0.3,0.7503011226654053,0.907,0.41162219643592834
50,8,0.0,12.0,0.8999999999999999,0.8576513528823853,0.868,0.22377264499664307
50,10,0.0,12.0,0.6,0.916767954826355,0.834,0.4299187958240509
50,15,0.0,12.0,1.5,0.9852864146232605,0.785,0.6793500781059265
50,20,0.0,12.0,1.5,1.0258452892303467,0.749,0.9752631187438965
50,30,0.0,12.0,3.0,1.1194981336593628,0.7,1.0875531435012817
50,40,0.0,12.0,3.0,1.1438630819320679,0.648,1.386091709136963
50,80,0.0,12.0,12.0,1.2568271160125732,0.546,1.7231918573379517
50,100,0.0,12.0,6.0,1.3048386573791504,0.519,1.7406128644943237
100,2,0.0,15.0,0.6,0.6760227680206299,0.978,0.37230709195137024
100,3,0.0,15.0,0.3,0.6829655170440674,0.966,0.21675202250480652
100,4,0.0,15.0,0.3,0.6950722932815552,0.953,0.36697304248809814
100,5,0.0,15.0,0.3,0.7427613139152527,0.94,0.528995931148529
100,8,0.0,15.0,0.8999999999999999,0.8613079786300659,0.904,0.5457746982574463
100,10,0.0,15.0,0.6,0.9151839017868042,0.893,0.5735825300216675
100,15,0.0,15.0,1.5,0.9532219767570496,0.849,0.908119797706604
100,20,0.0,15.0,1.5,1.0105465650558472,0.821,0.9372869729995728
100,30,0.0,15.0,3.0,1.0729166269302368,0.779,1.2061874866485596
100,40,0.0,15.0,3.0,1.142535924911499,0.755,1.2212930917739868
100,80,0.0,15.0,12.0,1.2141646146774292,0.664,1.8626981973648071
100,100,0.0,15.0,6.0,1.2256706953048706,0.638,2.010984420776367
200,2,0.0,30.0,0.6,0.6875784397125244,0.987,0.3172498047351837
200,3,0.0,30.0,0.3,0.681530773639679,0.975,0.4196961522102356
200,4,0.0,30.0,0.3,0.712587833404541,0.971,0.4608750641345978
200,5,0.0,30.0,0.3,0.7501509189605713,0.959,0.5734785199165344
200,8,0.0,30.0,0.8999999999999999,0.8399865627288818,0.936,0.607668936252594
200,10,0.0,30.0,0.6,0.8943435549736023,0.925,0.535271942615509
200,15,0.0,30.0,1.5,0.9449838399887085,0.892,1.0070520639419556
200,20,0.0,30.0,1.5,0.981419563293457,0.873,1.2032170295715332
200,30,0.0,30.0,3.0,1.0301073789596558,0.839,1.5365558862686157
200,40,0.0,30.0,3.0,1.0710725784301758,0.814,1.6351981163024902
200,80,0.0,30.0,12.0,1.1463810205459595,0.751,2.0859599113464355
200,100,0.0,30.0,6.0,1.1278586387634277,0.727,2.5143048763275146
500,2,0.0,90.0,0.6,0.7102206945419312,0.991,0.5442389249801636
500,3,0.0,90.0,0.3,0.6870078444480896,0.986,0.4505493938922882
500,4,0.0,90.0,0.3,0.7432292699813843,0.979,0.5218822956085205
500,5,0.0,90.0,0.3,0.7731900215148926,0.971,0.7097209095954895
500,8,0.0,90.0,0.8999999999999999,0.8527632355690002,0.96,0.6993242502212524
500,10,0.0,90.0,0.6,0.8756313323974609,0.947,0.942185640335083
500,15,0.0,90.0,1.5,0.9354464411735535,0.937,1.143419861793518
500,20,0.0,90.0,1.5,0.9674468636512756,0.917,1.3685914278030396
500,30,0.0,90.0,3.0,1.0105599164962769,0.901,1.571595549583435
500,40,0.0,90.0,3.0,1.0611376762390137,0.886,1.6208865642547607
500,80,0.0,90.0,12.0,1.0635387897491455,0.835,2.5450704097747803
500,100,0.0,90.0,6.0,1.013750672340393,0.803,1.572980523109436
