$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.5809696316719055,0.922,0.0
10,3,0.0,3.0,0.3,0.6399999856948853,0.89,0.0
10,4,0.0,3.0,0.3,0.6519574522972107,0.827,0.0
10,5,0.0,3.0,0.3,0.6691715717315674,0.815,0.0
10,8,0.0,3.0,0.8999999999999999,0.870470404624939,0.69,0.0
10,10,0.0,3.0,0.6,0.9567492604255676,0.627,0.0
10,15,0.0,3.0,1.5,1.0946438312530518,0.538,0.0
10,20,0.0,3.0,1.5,1.1891628503799438,0.477,0.0
10,30,0.0,3.0,3.0,1.3590197563171387,0.394,0.0
10,40,0.0,3.0,3.0,1.4383126497268677,0.322,0.0
10,80,0.0,3.0,12.0,1.5591503381729126,0.194,0.0
10,100,0.0,3.0,6.0,1.5779660940170288,0.163,0.0
50,2,0.0,12.0,0.6,0.699857771396637,0.967,0.0
50,3,0.0,12.0,0.3,0.6579726338386536,0.951,0.0
50,4,0.0,12.0,0.3,0.7100706696510315,0.928,0.0
50,5,0.0,12.0,0.3,0.7859463095664978,0.907,0.0
50,8,0.0,12.0,0.8999999999999999,0.878714382648468,0.868,0.0
50,10,0.0,12.0,0.6,0.9570204615592957,0.834,0.0
50,15,0.0,12.0,1.5,1.0460432767868042,0.785,0.0
50,20,0.0,12.0,1.5,1.1190372705459595,0.749,0.0
50,30,0.0,12.0,3.0,1.2325187921524048,0.7,0.0
50,40,0.0,12.0,3.0,1.293212652206421,0.648,0.0
50,80,0.0,12.0,12.0,1.4670193195343018,0.546,0.0
50,100,0.0,12.0,6.0,1.5250440835952759,0.519,0.0
100,2,0.0,15.0,0.6,0.7088876366615295,0.978,0.0
100,3,0.0,15.0,0.3,0.6988694667816162,0.966,0.0
100,4,0.0,15.0,0.3,0.7261019945144653,0.953,0.0
100,5,0.0,15.0,0.3,0.7917828559875488,0.94,0.0
100,8,0.0,15.0,0.8999999999999999,0.9101672768592834,0.904,0.0
100,10,0.0,15.0,0.6,0.9693827033042908,0.893,0.0
100,15,0.0,15.0,1.5,1.0349665880203247,0.849,0.0
100,20,0.0,15.0,1.5,1.1006819009780884,0.821,0.0
100,30,0.0,15.0,3.0,1.1932461261749268,0.779,0.0
100,40,0.0,15.0,3.0,1.2716195583343506,0.755,0.0
100,80,0.0,15.0,12.0,1.4370558261871338,0.664,0.0
100,100,0.0,15.0,6.0,1.4729912281036377,0.638,0.0
200,2,0.0,30.0,0.6,0.7168936133384705,0.987,0.0
200,3,0.0,30.0,0.3,0.7189646363258362,0.975,0.0
200,4,0.0,30.0,0.3,0.7583993077278137,0.971,0.0
200,5,0.0,30.0,0.3,0.8010094165802002,0.959,0.0
200,8,0.0,30.0,0.8999999999999999,0.8950466513633728,0.936,0.0
200,10,0.0,30.0,0.6,0.9405567049980164,0.925,0.0
200,15,0.0,30.0,1.5,1.036948800086975,0.892,0.0
200,20,0.0,30.0,1.5,1.0949170589447021,0.873,0.0
200,30,0.0,30.0,3.0,1.1848087310791016,0.839,0.0
200,40,0.0,30.0,3.0,1.243054986000061,0.814,0.0
200,80,0.0,30.0,12.0,1.3892841339111328,0.751,0.0
200,100,0.0,30.0,6.0,1.4313774108886719,0.727,0.0
500,2,0.0,90.0,0.6,0.7586280107498169,0.991,0.0
500,3,0.0,90.0,0.3,0.7259058952331543,0.986,0.0
500,4,0.0,90.0,0.3,0.7891415357589722,0.979,0.0
500,5,0.0,90.0,0.3,0.8352944254875183,0.971,0.0
500,8,0.0,90.0,0.8999999999999999,0.9145582318305969,0.96,0.0
500,10,0.0,90.0,0.6,0.9623645544052124,0.947,0.0
500,15,0.0,90.0,1.5,1.0410256385803223,0.937,0.0
500,20,0.0,90.0,1.5,1.1009830236434937,0.917,0.0
500,30,0.0,90.0,3.0,1.1685144901275635,0.901,0.0
500,40,0.0,90.0,3.0,1.2316977977752686,0.886,0.0
500,80,0.0,90.0,12.0,1.3561201095581055,0.835,0.0
500,100,0.0,90.0,6.0,1.4801758527755737,0.803,0.0
