$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.571962296962738,0.92,0.0
10,3,0.0,3.0,0.3,0.5688881874084473,0.879,0.0
10,4,0.0,3.0,0.3,0.6768990159034729,0.834,-0.0
10,5,0.0,3.0,0.3,0.6945512890815735,0.788,0.0
10,8,0.0,3.0,0.8999999999999999,0.8703945279121399,0.692,0.0
10,10,0.0,3.0,0.6,0.9438686966896057,0.628,0.0
10,15,0.0,3.0,1.5,1.0695085525512695,0.533,0.0
10,20,0.0,3.0,1.5,1.1591392755508423,0.472,0.0
10,30,0.0,3.0,3.0,1.3072068691253662,0.389,0.0
10,40,0.0,3.0,3.0,1.4129974842071533,0.336,0.0
10,80,0.0,3.0,12.0,1.5255045890808105,0.2,0.0
10,100,0.0,3.0,6.0,1.5396956205368042,0.169,0.0
50,2,0.0,12.0,0.6,0.6566703915596008,0.97,0.0
50,3,0.0,12.0,0.3,0.6493205428123474,0.951,0.0
50,4,0.0,12.0,0.3,0.7045484781265259,0.928,0.0
50,5,0.0,12.0,0.3,0.7573711276054382,0.906,0.0
50,8,0.0,12.0,0.8999999999999999,0.8912509679794312,0.858,0.0
50,10,0.0,12.0,0.6,0.9356070160865784,0.835,0.0
50,15,0.0,12.0,1.5,1.0282785892486572,0.788,0.0
50,20,0.0,12.0,1.5,1.0908337831497192,0.752,0.0
50,30,0.0,12.0,3.0,1.2026798725128174,0.709,0.0
50,40,0.0,12.0,3.0,1.2494522333145142,0.645,0.0
50,80,0.0,12.0,12.0,1.4155360460281372,0.551,0.0
50,100,0.0,12.0,6.0,1.4759995937347412,0.527,0.0
100,2,0.0,15.0,0.6,0.682117223739624,0.98,0.0
100,3,0.0,15.0,0.3,0.667908251285553,0.968,0.0
100,4,0.0,15.0,0.3,0.7175379991531372,0.949,0.0
100,5,0.0,15.0,0.3,0.7840082049369812,0.936,0.0
100,8,0.0,15.0,0.8999999999999999,0.8767296075820923,0.907,0.0
100,10,0.0,15.0,0.6,0.9273937344551086,0.885,0.0
100,15,0.0,15.0,1.5,1.018997311592102,0.85,0.0
100,20,0.0,15.0,1.5,1.0792776346206665,0.82,0.0
100,30,0.0,15.0,3.0,1.180757761001587,0.791,0.0
100,40,0.0,15.0,3.0,1.2198235988616943,0.742,0.0
100,80,0.0,15.0,12.0,1.4117766618728638,0.683,0.0
100,100,0.0,15.0,6.0,1.4216229915618896,0.637,0.0
200,2,0.0,30.0,0.6,0.7168387174606323,0.984,0.0
200,3,0.0,30.0,0.3,0.7051793336868286,0.975,0.0
200,4,0.0,30.0,0.3,0.734343409538269,0.969,0.0
200,5,0.0,30.0,0.3,0.780031681060791,0.957,0.0
200,8,0.0,30.0,0.8999999999999999,0.9000003337860107,0.934,0.0
200,10,0.0,30.0,0.6,0.9340404868125916,0.918,0.0
200,15,0.0,30.0,1.5,1.0121904611587524,0.894,0.0
200,20,0.0,30.0,1.5,1.0725218057632446,0.876,0.0
200,30,0.0,30.0,3.0,1.1497124433517456,0.839,0.0
200,40,0.0,30.0,3.0,1.2169148921966553,0.827,0.0
200,80,0.0,30.0,12.0,1.3535698652267456,0.754,0.0
200,100,0.0,30.0,6.0,1.3954840898513794,0.734,0.0
500,2,0.0,90.0,0.6,0.757436990737915,0.99,0.0
500,3,0.0,90.0,0.3,0.7239952087402344,0.986,0.0
500,4,0.0,90.0,0.3,0.766832709312439,0.98,0.0
500,5,0.0,90.0,0.3,0.8008041381835938,0.973,0.0
500,8,0.0,90.0,0.8999999999999999,0.9025858640670776,0.958,0.0
500,10,0.0,90.0,0.6,0.9269426465034485,0.954,0.0
500,15,0.0,90.0,1.5,1.0115324258804321,0.934,0.0
500,20,0.0,90.0,1.5,1.0736842155456543,0.922,0.0
500,30,0.0,90.0,3.0,1.1408326625823975,0.895,0.0
500,40,0.0,90.0,3.0,1.1974200010299683,0.882,0.0
500,80,0.0,90.0,12.0,1.3264260292053223,0.84,0.0
500,100,0.0,90.0,6.0,1.3704712390899658,0.826,0.0
