$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.6763336062431335,0.917,-0.0
10,3,0.0,3.0,0.3,0.6552401781082153,0.878,0.0
10,4,0.0,3.0,0.3,0.6748011112213135,0.824,0.0
10,5,0.0,3.0,0.3,0.7393829226493835,0.765,0.0
10,8,0.0,3.0,0.8999999999999999,0.8619337677955627,0.633,0.0
10,10,0.0,3.0,0.6,0.9009356498718262,0.564,0.0
10,15,0.0,3.0,1.5,0.9997624754905701,0.435,0.0
10,20,0.0,3.0,1.5,1.0532528162002563,0.35,0.0
10,30,0.0,3.0,3.0,1.1184742450714111,0.239,0.0
10,40,0.0,3.0,3.0,1.1570911407470703,0.181,0.0
10,80,0.0,3.0,12.0,0.8937151432037354,0.07,0.0
10,100,0.0,3.0,6.0,0.7525690197944641,0.049,0.0
50,2,0.0,12.0,0.6,0.7565377950668335,0.966,-0.0
50,3,0.0,12.0,0.3,0.7213285565376282,0.945,-0.0
50,4,0.0,12.0,0.3,0.7337972521781921,0.916,0.0
50,5,0.0,12.0,0.3,0.7736951112747192,0.885,0.0
50,8,0.0,12.0,0.8999999999999999,0.8702158331871033,0.807,0.0
50,10,0.0,12.0,0.6,0.8917638659477234,0.752,0.0
50,15,0.0,12.0,1.5,0.9282132387161255,0.648,0.0
50,20,0.0,12.0,1.5,0.9705865979194641,0.564,0.0
50,30,0.0,12.0,3.0,1.0133925676345825,0.444,0.0
50,40,0.0,12.0,3.0,1.0421024560928345,0.356,0.0
50,80,0.0,12.0,12.0,1.103651523590088,0.206,0.0
50,100,0.0,12.0,6.0,1.1217870712280273,0.169,0.0
100,2,0.0,15.0,0.6,0.7275639772415161,0.98,0.0
100,3,0.0,15.0,0.3,0.7313089966773987,0.959,0.0
100,4,0.0,15.0,0.3,0.786013662815094,0.94,0.0
100,5,0.0,15.0,0.3,0.8272479772567749,0.925,-0.0
100,8,0.0,15.0,0.8999999999999999,0.8265115022659302,0.862,0.0
100,10,0.0,15.0,0.6,0.9150294661521912,0.83,0.0
100,15,0.0,15.0,1.5,0.9270120859146118,0.727,0.0
100,20,0.0,15.0,1.5,0.9685778617858887,0.65,0.0
100,30,0.0,15.0,3.0,1.0126217603683472,0.542,0.0
100,40,0.0,15.0,3.0,1.0135873556137085,0.463,0.0
100,80,0.0,15.0,12.0,1.0689173936843872,0.269,0.0
100,100,0.0,15.0,6.0,1.0830309391021729,0.225,0.0
200,2,0.0,30.0,0.6,0.7626488208770752,0.982,0.0
200,3,0.0,30.0,0.3,0.7467721700668335,0.974,0.0
200,4,0.0,30.0,0.3,0.7946469187736511,0.959,-0.0
200,5,0.0,30.0,0.3,0.8161429166793823,0.947,0.0
200,8,0.0,30.0,0.8999999999999999,0.8814429640769958,0.893,0.0
200,10,0.0,30.0,0.6,0.901503324508667,0.865,0.0
200,15,0.0,30.0,1.5,0.9472766518592834,0.796,0.0
200,20,0.0,30.0,1.5,0.9668563604354858,0.731,0.0
200,30,0.0,30.0,3.0,0.9944071173667908,0.616,0.0
200,40,0.0,30.0,3.0,1.0167863368988037,0.56,0.0
200,80,0.0,30.0,12.0,1.0560179948806763,0.35,0.0
200,100,0.0,30.0,6.0,1.0682265758514404,0.299,0.0
500,2,0.0,90.0,0.6,0.7898916602134705,0.991,0.0
500,3,0.0,90.0,0.3,0.788094699382782,0.982,0.0
500,4,0.0,90.0,0.3,0.8154841661453247,0.973,0.0
500,5,0.0,90.0,0.3,0.8382548689842224,0.963,0.0
500,8,0.0,90.0,0.8999999999999999,0.886754035949707,0.929,0.0
500,10,0.0,90.0,0.6,0.9243918657302856,0.919,0.0
500,15,0.0,90.0,1.5,0.9546875357627869,0.86,0.0
500,20,0.0,90.0,1.5,0.9811035990715027,0.813,0.0
500,30,0.0,90.0,3.0,0.9974281787872314,0.725,0.0
500,40,0.0,90.0,3.0,1.0063414573669434,0.67,0.0
500,80,0.0,90.0,12.0,1.0521464347839355,0.475,0.0
500,100,0.0,90.0,6.0,1.0623975992202759,0.408,0.0
