$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.5753611326217651,0.922,0.13733775913715363
10,5,0.0,3.0,0.8999999999999999,0.6444336771965027,0.819,0.15277406573295593
10,8,0.0,3.0,0.8999999999999999,0.8449333310127258,0.69,0.18389254808425903
10,10,0.0,3.0,0.6,0.938055694103241,0.627,0.21488666534423828
10,15,0.0,3.0,1.5,1.0694115161895752,0.538,0.2812967598438263
10,20,0.0,3.0,1.5,1.1587793827056885,0.477,0.3228652775287628
10,30,0.0,3.0,3.0,1.3293265104293823,0.394,0.2789640426635742
10,40,0.0,3.0,3.0,1.370457649230957,0.322,0.573448657989502
50,2,0.0,12.0,0.6,0.682352602481842,0.967,0.2073865681886673
50,5,0.0,12.0,0.8999999999999999,0.7627831697463989,0.907,0.25080281496047974
50,8,0.0,12.0,0.8999999999999999,0.8720322847366333,0.868,0.07822858542203903
50,10,0.0,12.0,0.6,0.9450017213821411,0.834,0.13323639333248138
50,15,0.0,12.0,1.5,1.0380926132202148,0.785,0.08897974342107773
50,20,0.0,12.0,1.5,1.0857030153274536,0.749,0.3429281711578369
50,30,0.0,12.0,3.0,1.2072858810424805,0.7,0.24825069308280945
50,40,0.0,12.0,3.0,1.251603126525879,0.648,0.3877812325954437
100,2,0.0,15.0,0.6,0.6979130506515503,0.978,0.11386295408010483
100,5,0.0,15.0,0.8999999999999999,0.7759181261062622,0.94,0.17720289528369904
100,8,0.0,15.0,0.8999999999999999,0.8864797949790955,0.904,0.2505474388599396
100,10,0.0,15.0,0.6,0.959582507610321,0.893,0.09871656447649002
100,15,0.0,15.0,1.5,1.0144284963607788,0.849,0.23551113903522491
100,20,0.0,15.0,1.5,1.0862425565719604,0.821,0.14461500942707062
100,30,0.0,15.0,3.0,1.1744083166122437,0.779,0.18385730683803558
100,40,0.0,15.0,3.0,1.2226144075393677,0.755,0.4706175923347473
200,2,0.0,30.0,0.6,0.7103726267814636,0.987,0.058778200298547745
200,5,0.0,30.0,0.8999999999999999,0.7836176753044128,0.959,0.1763049215078354
200,8,0.0,30.0,0.8999999999999999,0.8726226091384888,0.936,0.24477535486221313
200,10,0.0,30.0,0.6,0.934071958065033,0.925,0.06746192276477814
200,15,0.0,30.0,1.5,1.0196388959884644,0.892,0.19059912860393524
200,20,0.0,30.0,1.5,1.0708208084106445,0.873,0.25635868310928345
200,30,0.0,30.0,3.0,1.1384875774383545,0.839,0.4620624780654907
200,40,0.0,30.0,3.0,1.1912189722061157,0.814,0.4950668513774872
500,2,0.0,90.0,0.6,0.7365034818649292,0.991,0.25114905834198
500,5,0.0,90.0,0.8999999999999999,0.8301182985305786,0.971,0.06855220347642899
500,8,0.0,90.0,0.8999999999999999,0.8943969011306763,0.96,0.23483361303806305
500,10,0.0,90.0,0.6,0.9252207279205322,0.947,0.4029521346092224
500,15,0.0,90.0,1.5,1.0032811164855957,0.937,0.42529937624931335
500,20,0.0,90.0,1.5,1.0710792541503906,0.917,0.3065654933452606
500,30,0.0,90.0,3.0,1.1204084157943726,0.901,0.4781162142753601
500,40,0.0,90.0,3.0,1.1702730655670166,0.886,0.585072934627533
