$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.5770263671875,0.92,0.010386539623141289
10,5,0.0,3.0,0.8999999999999999,0.6727541089057922,0.788,0.15933957695960999
10,8,0.0,3.0,0.8999999999999999,0.8600335121154785,0.692,0.09532885253429413
10,10,0.0,3.0,0.6,0.9225053787231445,0.628,0.24072317779064178
10,15,0.0,3.0,1.5,1.056321144104004,0.533,0.1275748759508133
10,20,0.0,3.0,1.5,1.139770746231079,0.472,0.18454885482788086
10,30,0.0,3.0,3.0,1.2891579866409302,0.389,0.15930944681167603
10,40,0.0,3.0,3.0,1.3600975275039673,0.336,0.43006646633148193
50,2,0.0,12.0,0.6,0.6618606448173523,0.971,0.003820230485871434
50,5,0.0,12.0,0.8999999999999999,0.7495040893554688,0.906,0.09167990833520889
50,8,0.0,12.0,0.8999999999999999,0.8764992356300354,0.858,0.16697457432746887
50,10,0.0,12.0,0.6,0.9149007797241211,0.835,0.20821568369865417
50,15,0.0,12.0,1.5,1.02489173412323,0.788,0.014010865241289139
50,20,0.0,12.0,1.5,1.072121500968933,0.752,0.19836029410362244
50,30,0.0,12.0,3.0,1.1770480871200562,0.709,0.2540695369243622
50,40,0.0,12.0,3.0,1.2116096019744873,0.645,0.3457704186439514
100,2,0.0,15.0,0.6,0.6729422807693481,0.98,0.13876532018184662
100,5,0.0,15.0,0.8999999999999999,0.7818422317504883,0.936,0.037113722413778305
100,8,0.0,15.0,0.8999999999999999,0.8653929829597473,0.907,0.144290491938591
100,10,0.0,15.0,0.6,0.9269442558288574,0.885,-0.005634934175759554
100,15,0.0,15.0,1.5,1.0127335786819458,0.85,0.05962583050131798
100,20,0.0,15.0,1.5,1.050022840499878,0.82,0.303488165140152
100,30,0.0,15.0,3.0,1.1656429767608643,0.791,0.145518496632576
100,40,0.0,15.0,3.0,1.196582555770874,0.742,0.22288809716701508
200,2,0.0,30.0,0.6,0.7169758081436157,0.984,-0.0038962324615567923
200,5,0.0,30.0,0.8999999999999999,0.7842095494270325,0.957,-0.05265721306204796
200,8,0.0,30.0,0.8999999999999999,0.8993138074874878,0.934,0.003944657742977142
200,10,0.0,30.0,0.6,0.9105082154273987,0.918,0.25364950299263
200,15,0.0,30.0,1.5,0.9894794821739197,0.894,0.24473947286605835
200,20,0.0,30.0,1.5,1.0514745712280273,0.876,0.23003940284252167
200,30,0.0,30.0,3.0,1.127060890197754,0.839,0.22170314192771912
200,40,0.0,30.0,3.0,1.2030302286148071,0.827,0.13139669597148895
500,2,0.0,90.0,0.6,0.7362602949142456,0.99,0.2382974922657013
500,5,0.0,90.0,0.8999999999999999,0.7883316278457642,0.973,0.1344994306564331
500,8,0.0,90.0,0.8999999999999999,0.8894702196121216,0.958,0.14602211117744446
500,10,0.0,90.0,0.6,0.9024375677108765,0.954,0.27627670764923096
500,15,0.0,90.0,1.5,0.9913580417633057,0.934,0.2231970876455307
500,20,0.0,90.0,1.5,1.0395922660827637,0.922,0.344731867313385
500,30,0.0,90.0,3.0,1.093038558959961,0.895,0.47144144773483276
500,40,0.0,90.0,3.0,1.165053367614746,0.882,0.3027828335762024
