$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.6707265377044678,0.917,-0.017443707212805748
10,5,0.0,3.0,0.8999999999999999,0.7410217523574829,0.765,0.014251751825213432
10,8,0.0,3.0,0.8999999999999999,0.8529447913169861,0.633,0.06417221575975418
10,10,0.0,3.0,0.6,0.8825558423995972,0.564,0.16495288908481598
10,15,0.0,3.0,1.5,0.9936204552650452,0.435,0.0680626779794693
10,20,0.0,3.0,1.5,1.0368661880493164,0.35,0.1800658255815506
10,30,0.0,3.0,3.0,1.0972764492034912,0.239,0.21489854156970978
10,40,0.0,3.0,3.0,1.1229559183120728,0.181,0.3329262137413025
50,2,0.0,12.0,0.6,0.7630491256713867,0.966,-0.0875927284359932
50,5,0.0,12.0,0.8999999999999999,0.7712641954421997,0.885,0.00028666737489402294
50,8,0.0,12.0,0.8999999999999999,0.8751629590988159,0.807,-0.0016942474758252501
50,10,0.0,12.0,0.6,0.8761299252510071,0.752,0.17517980933189392
50,15,0.0,12.0,1.5,0.9312793612480164,0.648,-0.02332957275211811
50,20,0.0,12.0,1.5,0.9680881500244141,0.564,0.033159878104925156
50,30,0.0,12.0,3.0,0.9965795874595642,0.444,0.17989064753055573
50,40,0.0,12.0,3.0,1.0071827173233032,0.356,0.3654342293739319
100,2,0.0,15.0,0.6,0.7316018342971802,0.98,-0.01946413330733776
100,5,0.0,15.0,0.8999999999999999,0.8442938923835754,0.926,0.13111259043216705
100,8,0.0,15.0,0.8999999999999999,0.8087717890739441,0.862,0.14935481548309326
100,10,0.0,15.0,0.6,0.872832179069519,0.83,0.09666148573160172
100,15,0.0,15.0,1.5,0.9063636660575867,0.727,0.2048170566558838
100,20,0.0,15.0,1.5,0.9670673608779907,0.65,0.004316303879022598
100,30,0.0,15.0,3.0,0.9896969795227051,0.542,0.2478792369365692
100,40,0.0,15.0,3.0,1.0099334716796875,0.463,0.04413310065865517
200,2,0.0,30.0,0.6,0.7598855495452881,0.982,0.0502794049680233
200,5,0.0,30.0,0.8999999999999999,0.7993451356887817,0.947,0.1754232943058014
200,8,0.0,30.0,0.8999999999999999,0.8708589673042297,0.893,0.0966997742652893
200,10,0.0,30.0,0.6,0.8858274221420288,0.865,0.1532810926437378
200,15,0.0,30.0,1.5,0.9287220239639282,0.796,0.18807944655418396
200,20,0.0,30.0,1.5,0.9446303844451904,0.731,0.25322774052619934
200,30,0.0,30.0,3.0,0.9905335903167725,0.616,0.03699927031993866
200,40,0.0,30.0,3.0,1.004511833190918,0.56,0.11612056195735931
500,2,0.0,90.0,0.6,0.7864862084388733,0.991,0.05075903609395027
500,5,0.0,90.0,0.8999999999999999,0.8313598036766052,0.963,0.07775790244340897
500,8,0.0,90.0,0.8999999999999999,0.8831089735031128,0.929,0.05491330474615097
500,10,0.0,90.0,0.6,0.9221857786178589,0.919,0.07845213264226913
500,15,0.0,90.0,1.5,0.9381367564201355,0.86,0.17575222253799438
500,20,0.0,90.0,1.5,0.9625706076622009,0.813,0.19032831490039825
500,30,0.0,90.0,3.0,0.9927560687065125,0.725,0.04364832863211632
500,40,0.0,90.0,3.0,1.0054335594177246,0.67,0.043180715292692184
