$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,0.9421255588531494,0.862,2.6446056365966797
10,5,0.0,3.0,0.8999999999999999,1.0083659887313843,0.826,4.934310436248779
10,8,0.0,3.0,0.8999999999999999,1.0130414962768555,0.795,5.389387607574463
10,10,0.0,3.0,0.6,1.0114870071411133,0.773,5.552072525024414
10,15,0.0,3.0,1.5,1.0043283700942993,0.729,5.924773216247559
10,20,0.0,3.0,1.5,1.0018893480300903,0.706,6.130419731140137
10,30,0.0,3.0,3.0,1.0004962682724,0.67,6.374239444732666
10,40,0.0,3.0,3.0,1.0089243650436401,0.647,6.5188398361206055
50,2,0.0,12.0,0.6,0.971278965473175,0.911,2.72365665435791
50,5,0.0,12.0,0.8999999999999999,1.000760793685913,0.915,5.011466979980469
50,8,0.0,12.0,0.8999999999999999,1.0076005458831787,0.905,5.409138202667236
50,10,0.0,12.0,0.6,1.0016273260116577,0.897,5.61972713470459
50,15,0.0,12.0,1.5,1.0080492496490479,0.88,5.900447845458984
50,20,0.0,12.0,1.5,0.996840238571167,0.863,6.091848850250244
50,30,0.0,12.0,3.0,0.9916898012161255,0.847,6.3738789558410645
50,40,0.0,12.0,3.0,1.0041135549545288,0.837,6.460572719573975
100,2,0.0,15.0,0.6,0.9897667765617371,0.931,2.546067476272583
100,5,0.0,15.0,0.8999999999999999,0.988310694694519,0.936,5.03533935546875
100,8,0.0,15.0,0.8999999999999999,1.0046850442886353,0.931,5.442151069641113
100,10,0.0,15.0,0.6,1.006371259689331,0.928,5.6030592918396
100,15,0.0,15.0,1.5,0.9981527924537659,0.912,5.897989273071289
100,20,0.0,15.0,1.5,1.0002598762512207,0.898,6.093970775604248
100,30,0.0,15.0,3.0,0.9975419044494629,0.887,6.341267108917236
100,40,0.0,15.0,3.0,0.9984133243560791,0.882,6.451786041259766
200,2,0.0,30.0,0.6,0.9978258013725281,0.946,2.487595319747925
200,5,0.0,30.0,0.8999999999999999,0.9795186519622803,0.954,4.995504379272461
200,8,0.0,30.0,0.8999999999999999,0.9916243553161621,0.955,5.48560905456543
200,10,0.0,30.0,0.6,0.9933027029037476,0.951,5.6568756103515625
200,15,0.0,30.0,1.5,0.9916304349899292,0.937,5.94800329208374
200,20,0.0,30.0,1.5,0.9949451684951782,0.935,6.078197002410889
200,30,0.0,30.0,3.0,0.977268636226654,0.923,6.422267913818359
200,40,0.0,30.0,3.0,0.969768762588501,0.917,6.572622776031494
500,2,0.0,90.0,0.6,0.9937845468521118,0.964,2.5022757053375244
500,5,0.0,90.0,0.8999999999999999,0.9729994535446167,0.969,4.835237503051758
500,8,0.0,90.0,0.8999999999999999,0.9904711842536926,0.971,5.476910591125488
500,10,0.0,90.0,0.6,0.9813487529754639,0.967,5.664242267608643
500,15,0.0,90.0,1.5,0.9996141195297241,0.964,5.936287879943848
500,20,0.0,90.0,1.5,0.9898634552955627,0.958,6.098389625549316
500,30,0.0,90.0,3.0,0.9856237173080444,0.953,6.310290336608887
500,40,0.0,90.0,3.0,0.9806190133094788,0.947,6.524730682373047
