$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,1.0026626586914062,0.886,-0.03925754502415657
10,5,0.0,3.0,0.8999999999999999,0.9889274835586548,0.773,0.823567271232605
10,8,0.0,3.0,0.8999999999999999,0.9903008937835693,0.73,1.1310334205627441
10,10,0.0,3.0,0.6,0.9968973398208618,0.707,1.2097041606903076
10,15,0.0,3.0,1.5,0.9970918297767639,0.686,1.4194145202636719
10,20,0.0,3.0,1.5,1.0026811361312866,0.666,1.5277705192565918
10,30,0.0,3.0,3.0,0.9946629405021667,0.62,1.7959377765655518
10,40,0.0,3.0,3.0,1.0018023252487183,0.605,1.875496506690979
50,2,0.0,12.0,0.6,0.9951148629188538,0.947,0.04107029736042023
50,5,0.0,12.0,0.8999999999999999,0.9999335408210754,0.9,0.7119365334510803
50,8,0.0,12.0,0.8999999999999999,0.9944301247596741,0.876,1.0404735803604126
50,10,0.0,12.0,0.6,1.001332402229309,0.862,1.122849464416504
50,15,0.0,12.0,1.5,1.0091642141342163,0.862,1.2744191884994507
50,20,0.0,12.0,1.5,1.0011873245239258,0.842,1.4875093698501587
50,30,0.0,12.0,3.0,1.003319263458252,0.829,1.6871488094329834
50,40,0.0,12.0,3.0,0.9941660165786743,0.813,1.8860483169555664
100,2,0.0,15.0,0.6,0.993526041507721,0.966,0.07035402208566666
100,5,0.0,15.0,0.8999999999999999,0.9952686429023743,0.931,0.739551305770874
100,8,0.0,15.0,0.8999999999999999,0.9909464716911316,0.914,1.0571792125701904
100,10,0.0,15.0,0.6,0.9895645380020142,0.911,1.1716002225875854
100,15,0.0,15.0,1.5,0.9979212284088135,0.894,1.3538578748703003
100,20,0.0,15.0,1.5,0.9902387857437134,0.889,1.572051763534546
100,30,0.0,15.0,3.0,0.9921282529830933,0.877,1.692980170249939
100,40,0.0,15.0,3.0,0.9945670366287231,0.866,1.8438630104064941
200,2,0.0,30.0,0.6,0.9866057634353638,0.976,0.10850590467453003
200,5,0.0,30.0,0.8999999999999999,0.9941186904907227,0.952,0.7506821751594543
200,8,0.0,30.0,0.8999999999999999,0.9876949787139893,0.944,1.0727721452713013
200,10,0.0,30.0,0.6,0.9965904951095581,0.935,1.1335399150848389
200,15,0.0,30.0,1.5,0.9897897839546204,0.924,1.3843152523040771
200,20,0.0,30.0,1.5,0.9935476779937744,0.924,1.4945156574249268
200,30,0.0,30.0,3.0,0.9947396516799927,0.91,1.6908562183380127
200,40,0.0,30.0,3.0,0.9926139116287231,0.907,1.8394674062728882
500,2,0.0,90.0,0.6,0.9892023801803589,0.984,0.06611467897891998
500,5,0.0,90.0,0.8999999999999999,0.9831641912460327,0.978,0.729957640171051
500,8,0.0,90.0,0.8999999999999999,0.990682065486908,0.966,1.055357813835144
500,10,0.0,90.0,0.6,0.9978604912757874,0.96,1.0973060131072998
500,15,0.0,90.0,1.5,0.9921502470970154,0.953,1.37838613986969
500,20,0.0,90.0,1.5,0.9896302819252014,0.951,1.5475752353668213
500,30,0.0,90.0,3.0,0.9912000894546509,0.944,1.7101675271987915
500,40,0.0,90.0,3.0,0.9883386492729187,0.939,1.87716543674469
