$\mu_{m}$,n,z,dx,dy,Slope of bestfit,HARS,Intercept
10,2,0.0,3.0,0.6,1.0003435611724854,0.892,0.012319265864789486
10,5,0.0,3.0,0.8999999999999999,0.9925127029418945,0.763,0.8335902690887451
10,8,0.0,3.0,0.8999999999999999,1.0080276727676392,0.666,1.014540433883667
10,10,0.0,3.0,0.6,0.9990525245666504,0.62,1.1839295625686646
10,15,0.0,3.0,1.5,0.9783127903938293,0.537,1.462946891784668
10,20,0.0,3.0,1.5,1.002993106842041,0.447,1.400935411453247
10,30,0.0,3.0,3.0,0.9921301603317261,0.364,1.5864484310150146
10,40,0.0,3.0,3.0,0.9983026385307312,0.292,1.6365642547607422
50,2,0.0,12.0,0.6,0.9935750365257263,0.946,0.046812504529953
50,5,0.0,12.0,0.8999999999999999,1.008330225944519,0.89,0.8783100247383118
50,8,0.0,12.0,0.8999999999999999,0.9821891188621521,0.839,1.2867403030395508
50,10,0.0,12.0,0.6,0.9956318140029907,0.806,1.3123842477798462
50,15,0.0,12.0,1.5,1.0113581418991089,0.722,1.2619422674179077
50,20,0.0,12.0,1.5,0.9930762648582458,0.658,1.4911481142044067
50,30,0.0,12.0,3.0,0.9962103366851807,0.569,1.5566191673278809
50,40,0.0,12.0,3.0,1.0028355121612549,0.5,1.5924818515777588
100,2,0.0,15.0,0.6,0.9936297535896301,0.967,0.04835531488060951
100,5,0.0,15.0,0.8999999999999999,0.9900722503662109,0.918,0.9624801874160767
100,8,0.0,15.0,0.8999999999999999,0.9989458322525024,0.874,1.177788257598877
100,10,0.0,15.0,0.6,0.9876365661621094,0.853,1.2989240884780884
100,15,0.0,15.0,1.5,1.0022186040878296,0.794,1.4156731367111206
100,20,0.0,15.0,1.5,0.9982456564903259,0.743,1.582769751548767
100,30,0.0,15.0,3.0,0.9982488751411438,0.648,1.59456205368042
100,40,0.0,15.0,3.0,1.0031211376190186,0.59,1.5750010013580322
200,2,0.0,30.0,0.6,0.9897368550300598,0.975,0.08205795288085938
200,5,0.0,30.0,0.8999999999999999,0.9901124835014343,0.944,0.9949747920036316
200,8,0.0,30.0,0.8999999999999999,0.9966537356376648,0.912,1.2097135782241821
200,10,0.0,30.0,0.6,0.9972028732299805,0.898,1.395456075668335
200,15,0.0,30.0,1.5,0.9915105104446411,0.842,1.491104245185852
200,20,0.0,30.0,1.5,0.9853160381317139,0.801,1.5707772970199585
200,30,0.0,30.0,3.0,0.9908974766731262,0.737,1.5862278938293457
200,40,0.0,30.0,3.0,0.9937308430671692,0.662,1.619462251663208
500,2,0.0,90.0,0.6,0.9950659871101379,0.983,0.026037298142910004
500,5,0.0,90.0,0.8999999999999999,0.9923697113990784,0.965,0.9722516536712646
500,8,0.0,90.0,0.8999999999999999,0.9897328615188599,0.945,1.262994408607483
500,10,0.0,90.0,0.6,1.0021580457687378,0.933,1.2956920862197876
500,15,0.0,90.0,1.5,0.9928754568099976,0.905,1.4803485870361328
500,20,0.0,90.0,1.5,0.9984208941459656,0.868,1.5147058963775635
500,30,0.0,90.0,3.0,0.9995661377906799,0.818,1.5347577333450317
500,40,0.0,90.0,3.0,0.9951876997947693,0.78,1.470870018005371
