$x_{max}$ opt No.,$x_{max}$,$CDM$ opt No.,$CDM$,Iterations
1,11.279,1,11.279,41926
1,9.776,2,8.938,34692
0,11.013,2,9.947,7624
0,11.352,0,11.352,14391
1,11.341,1,11.341,2715
1,11.037,1,11.037,13531
2,11.19,2,11.19,33740
2,11.049,2,11.049,10469
2,11.586,0,9.963,8384
0,11.066,0,11.066,7105
2,10.473,2,10.473,27808
1,10.108,2,8.819,27237
1,11.027,1,11.027,16994
2,9.681,1,9.556,24104
1,10.825,1,10.825,7777
1,10.298,0,9.609,10630
2,11.927,2,11.927,3728
1,10.001,2,9.567,9552
1,11.009,1,11.009,17029
1,11.073,1,11.073,11197
1,11.462,0,10.005,10139
2,9.735,2,9.735,3434
1,10.798,1,10.798,1050
0,10.903,1,10.683,12323
1,12.199,0,10.476,20620
1,11.224,1,11.224,13843
2,12.461,1,11.457,9323
0,11.132,2,10.657,20724
0,10.022,2,8.701,12373
1,10.348,1,10.348,40763
1,11.064,1,11.064,7534
1,10.03,1,10.03,11447
0,11.078,0,11.078,9537
1,11.267,2,10.93,22150
1,10.498,1,10.498,695
2,10.975,2,10.975,5737
0,10.154,1,9.172,32159
2,10.316,0,9.398,9254
2,9.481,0,9.254,15517
2,9.106,2,9.106,3357
2,11.263,2,11.263,18996
0,11.936,1,9.861,10397
0,11.038,0,11.038,15994
0,10.456,1,9.306,64279
2,11.592,2,11.592,5410
1,11.644,1,11.644,10028
2,11.881,2,11.881,8157
1,10.24,1,10.24,11190
0,10.871,2,10.587,14990
2,11.941,0,10.682,11877
2,10.353,2,10.353,46687
0,11.864,0,11.864,17886
0,10.654,0,10.654,2021
2,10.71,2,10.71,9908
0,11.401,0,11.401,17044
2,11.935,2,11.935,13544
0,10.542,0,10.542,15509
2,11.154,2,11.154,3958
0,11.292,2,10.209,12011
0,11.983,0,11.983,11121
0,10.372,2,9.621,6077
0,11.141,0,11.141,11167
2,10.762,2,10.762,10146
2,12.201,2,12.201,10614
1,11.469,1,11.469,36751
2,11.795,2,11.795,22190
0,10.613,0,10.613,17787
0,10.534,0,10.534,1889
2,10.56,2,10.56,9777
2,10.328,2,10.328,8567
2,9.828,2,9.828,4798
0,10.689,2,10.367,14652
0,10.838,2,10.32,41571
0,10.291,0,10.291,9969
1,11.171,1,11.171,9993
1,9.989,2,9.907,7426
2,10.103,0,10.102,20079
0,11.495,1,10.418,37048
0,11.471,0,11.471,2878
2,10.604,1,10.465,8891
0,10.69,1,10.099,46726
2,10.57,0,10.551,32674
2,11.009,2,11.009,17090
0,11.136,2,10.043,7983
2,10.82,2,10.82,2413
0,10.302,1,9.236,18411
1,11.354,2,10.751,9316
2,11.007,2,11.007,11996
0,11.112,1,10.668,26506
2,11.289,2,11.289,13928
1,11.342,1,11.342,7659
2,10.548,1,9.773,15629
2,10.357,1,9.608,51700
0,10.329,0,10.329,6990
0,10.892,0,10.892,9369
2,11.946,2,11.946,13289
2,11.639,2,11.639,13360
0,11.751,0,11.751,17361
0,10.151,0,10.151,4704
2,10.493,1,9.76,22343
